customer_id,signup_date,age,gender,region,acquisition_channel,acquisition_cost
C100173,2026-02-11,68,Male,South,Paid Ads,650
C100174,2024-08-13,49,Male,North,Referral,90
C100175,2025-07-01,51,Male,Central,Organic Search,180
C100176,2024-06-13,64,Male,East,Paid Ads,650
C100177,2023-08-11,52,Male,South,Paid Ads,650
C100178,2024-04-22,35,Other,Central,Paid Ads,650
C100179,2023-04-28,45,Male,Central,Social Media,420
C100180,2025-09-17,30,Female,East,Referral,90
C100181,2023-08-25,35,Female,South,Organic Search,180
C100182,2024-04-29,53,Female,East,Paid Ads,650
C100183,2026-06-14,25,Female,North,Referral,90
C100184,2025-01-31,52,Female,East,Email Marketing,140
C100185,2024-08-12,48,Female,North,Organic Search,180
C100186,2024-11-29,34,Female,East,Organic Search,180
C100187,2025-10-05,20,Female,West,Direct,60
C100188,2023-11-24,54,Female,Central,Organic Search,180
C100189,2025-03-29,60,Female,West,Direct,60
C100190,2026-01-27,55,Male,North,Email Marketing,140
C100191,2025-01-06,39,Female,North,Organic Search,180
C100192,2024-07-28,51,Female,East,Organic Search,180
C100193,2023-07-06,39,Male,South,Direct,60
C100194,2023-11-16,36,Female,North,Organic Search,180
C100195,2026-05-01,35,Male,West,Social Media,420
C100196,2024-11-27,28,Male,South,Organic Search,180
C100197,2024-01-23,68,Female,North,Social Media,420
C100198,2024-06-22,52,Male,East,Email Marketing,140
C100199,2025-01-13,27,Male,Central,Social Media,420
C100200,2024-11-22,62,Male,West,Organic Search,180
C100201,2025-06-18,25,Female,North,Social Media,420
C100202,2023-11-28,48,Male,East,Social Media,420
C100203,2025-04-14,26,Female,Central,Organic Search,180
C100204,2024-07-23,36,Female,North,Referral,90
C100205,2026-04-24,52,Female,East,Social Media,420
C100206,2023-07-23,69,Female,West,Organic Search,180
C100207,2023-07-10,69,Female,West,Direct,60
C100208,2024-08-16,64,Male,North,Paid Ads,650
C100209,2024-10-15,30,Female,Central,Organic Search,180
C100210,2025-06-07,22,Female,South,Organic Search,180
C100211,2024-06-03,65,Male,North,Paid Ads,650
C100212,2026-03-21,66,Male,North,Paid Ads,650
C100213,2024-09-01,32,Female,South,Paid Ads,650
C100214,2023-06-16,18,Male,North,Referral,90
C100215,2023-06-03,51,Female,West,Social Media,420
C100216,2026-06-05,21,Male,Central,Organic Search,180
C100217,2023-06-22,20,Female,North,Referral,90
C100218,2026-05-03,66,Male,West,Referral,90
C100219,2023-12-24,43,Female,Central,Social Media,420
C100220,2023-05-01,23,Male,North,Direct,60
C100221,2024-01-27,52,Male,West,Paid Ads,650
C100222,2025-03-01,37,Male,Central,Organic Search,180
C100223,2024-07-04,45,Female,West,Organic Search,180
C100224,2025-10-07,64,Female,East,Paid Ads,650
C100225,2025-02-24,30,Female,Central,Paid Ads,650
C100226,2024-05-30,51,Male,West,Organic Search,180
C100227,2025-03-27,61,Female,South,Social Media,420
C100228,2026-06-03,40,Male,North,Email Marketing,140
C100229,2024-06-13,68,Male,East,Referral,90
C100230,2023-07-17,41,Female,South,Social Media,420
C100231,2024-06-09,41,Female,South,Social Media,420
C100232,2025-12-16,63,Female,North,Referral,90
C100233,2023-10-07,51,Male,West,Paid Ads,650
C100234,2026-05-05,63,Male,West,Paid Ads,650
C100235,2025-01-26,59,Female,South,Paid Ads,650
C100236,2025-02-12,55,Male,North,Organic Search,180
C100237,2024-02-12,30,Male,North,Social Media,420
C100238,2026-03-29,38,Other,North,Paid Ads,650
C100239,2023-02-16,62,Female,East,Organic Search,180
C100240,2024-01-20,50,Male,North,Organic Search,180
C100241,2024-06-22,32,Male,Central,Referral,90
C100242,2024-09-05,35,Female,South,Organic Search,180
C100243,2024-09-01,58,Male,North,Paid Ads,650
C100244,2023-07-10,27,Male,Central,Organic Search,180
C100245,2023-10-18,23,Male,South,Organic Search,180
C100246,2023-05-03,57,Female,South,Referral,90
C100247,2025-01-06,32,Female,North,Organic Search,180
C100248,2024-03-27,57,Male,West,Paid Ads,650
C100249,2024-12-28,45,Male,South,Direct,60
C100250,2025-01-28,69,Female,West,Paid Ads,650
C100251,2025-06-21,45,Female,East,Social Media,420
C100252,2024-12-04,63,Female,Central,Social Media,420
C100253,2025-04-13,62,Male,East,Organic Search,180
C100254,2025-01-25,29,Female,West,Paid Ads,650
C100255,2025-04-19,69,Female,West,Paid Ads,650
C100256,2025-03-04,56,Female,East,Organic Search,180
C100257,2024-02-11,23,Male,West,Organic Search,180
C100258,2023-11-13,18,Female,West,Social Media,420
C100259,2025-10-09,32,Male,North,Organic Search,180
C100260,2024-03-16,18,Male,West,Organic Search,180
C100261,2024-12-07,36,Male,South,Social Media,420
C100262,2023-09-11,69,Female,East,Paid Ads,650
C100263,2024-07-08,42,Male,North,Social Media,420
C100264,2024-11-12,19,Female,North,Organic Search,180
C100265,2025-03-16,43,Female,North,Referral,90
C100266,2024-11-07,29,Female,North,Email Marketing,140
C100267,2024-04-08,62,Male,North,Social Media,420
C100268,2026-05-21,22,Female,North,Email Marketing,140
C100269,2024-10-21,58,Male,East,Paid Ads,650
C100270,2025-11-05,41,Female,South,Organic Search,180
C100271,2025-08-05,18,Male,Central,Paid Ads,650
C100272,2024-12-18,53,Male,West,Paid Ads,650
C100273,2026-02-13,41,Female,North,Email Marketing,140
C100274,2023-06-14,58,Male,South,Paid Ads,650
C100275,2026-03-30,50,Male,South,Paid Ads,650
C100276,2025-12-29,58,Other,South,Email Marketing,140
C100277,2024-10-09,41,Male,East,Organic Search,180
C100278,2025-08-01,18,Male,West,Social Media,420
C100279,2024-10-31,24,Male,East,Paid Ads,650
C100280,2023-12-12,41,Male,South,Direct,60
C100281,2025-10-25,38,Female,West,Organic Search,180
C100282,2023-11-13,59,Male,South,Referral,90
C100283,2024-02-09,39,Male,West,Social Media,420
C100284,2024-10-29,62,Female,Central,Direct,60
C100285,2025-12-12,27,Male,South,Direct,60
C100286,2024-05-08,38,Female,West,Referral,90
C100287,2024-09-27,57,Other,West,Organic Search,180
C100288,2023-02-23,24,Male,East,Paid Ads,650
C100289,2023-05-29,34,Male,North,Email Marketing,140
C100290,2023-03-13,57,Male,West,Social Media,420
C100291,2023-04-03,48,Male,South,Email Marketing,140
C100292,2026-01-21,58,Female,North,Referral,90
C100293,2025-12-18,44,Female,East,Paid Ads,650
C100294,2025-11-22,62,Male,South,Organic Search,180
C100295,2023-03-13,63,Male,North,Paid Ads,650
C100296,2023-04-10,68,Male,Central,Referral,90
C100297,2023-12-27,24,Other,South,Paid Ads,650
C100298,2024-12-27,48,Female,East,Organic Search,180
C100299,2024-03-05,23,Male,West,Referral,90
C100300,2024-09-19,29,Female,North,Organic Search,180
C100301,2023-08-11,33,Male,West,Paid Ads,650
C100302,2025-07-28,51,Female,East,Paid Ads,650
C100303,2024-02-08,40,Female,East,Social Media,420
C100304,2023-03-27,62,Female,East,Organic Search,180
C100305,2025-08-13,33,Male,Central,Referral,90
C100306,2026-03-06,50,Male,Central,Email Marketing,140
C100307,2023-01-19,57,Other,North,Referral,90
C100308,2024-07-15,68,Male,South,Direct,60
C100309,2025-11-29,30,Male,East,Organic Search,180
C100310,2025-06-27,56,Female,Central,Organic Search,180
C100311,2026-01-06,22,Female,West,Organic Search,180
C100312,2024-06-17,46,Female,South,Referral,90
C100313,2024-04-23,39,Female,Central,Organic Search,180
C100314,2025-07-01,67,Female,South,Direct,60
C100315,2023-07-17,58,Male,South,Social Media,420
C100316,2023-11-04,66,Female,East,Email Marketing,140
C100317,2025-02-11,62,Female,South,Paid Ads,650
C100318,2025-05-09,39,Female,East,Referral,90
C100319,2023-06-03,56,Male,South,Paid Ads,650
C100320,2024-10-15,19,Male,West,Social Media,420
C100321,2024-04-14,47,Female,Central,Referral,90
C100322,2024-10-07,20,Male,South,Organic Search,180
C100323,2026-05-17,55,Male,East,Email Marketing,140
C100324,2023-04-09,68,Female,West,Referral,90
C100325,2026-07-04,53,Female,North,Referral,90
C100326,2024-08-01,61,Male,West,Organic Search,180
C100327,2025-09-19,30,Male,East,Organic Search,180
C100328,2024-06-29,69,Male,North,Organic Search,180
C100329,2024-02-04,46,Female,Central,Social Media,420
C100330,2025-09-17,53,Female,South,Organic Search,180
C100331,2025-06-03,58,Male,North,Direct,60
C100332,2023-07-05,51,Male,North,Direct,60
C100333,2025-06-26,34,Male,West,Organic Search,180
C100334,2025-08-26,49,Male,Central,Referral,90
C100335,2024-05-13,52,Male,South,Organic Search,180
C100336,2026-04-05,62,Female,North,Paid Ads,650
C100337,2025-04-04,43,Male,North,Organic Search,180
C100338,2024-03-05,44,Male,East,Email Marketing,140
C100339,2023-01-14,44,Female,South,Email Marketing,140
C100340,2025-05-17,23,Male,South,Organic Search,180
C100341,2023-09-26,22,Male,South,Organic Search,180
C100342,2025-08-30,19,Male,East,Paid Ads,650
C100343,2024-11-06,52,Male,East,Social Media,420
C100344,2024-08-23,39,Male,East,Organic Search,180
C100345,2023-07-30,63,Female,North,Email Marketing,140
C100346,2025-07-03,54,Male,East,Direct,60
C100347,2023-08-02,25,Female,East,Paid Ads,650
C100348,2024-06-21,23,Female,East,Email Marketing,140
C100349,2025-12-11,37,Male,North,Social Media,420
C100350,2026-03-29,65,Male,North,Social Media,420
C100351,2026-06-26,20,Male,East,Email Marketing,140
C100352,2026-05-17,27,Male,South,Paid Ads,650
C100353,2024-12-15,19,Female,East,Social Media,420
C100354,2023-09-15,39,Male,South,Organic Search,180
C100355,2025-12-15,69,Female,North,Referral,90
C100356,2025-10-27,53,Female,East,Organic Search,180
C100357,2026-06-27,43,Female,South,Organic Search,180
C100358,2025-04-17,25,Female,North,Paid Ads,650
C100359,2023-07-02,36,Female,West,Paid Ads,650
C100360,2024-10-08,45,Female,South,Organic Search,180
C100361,2024-07-30,32,Other,Central,Organic Search,180
C100362,2025-12-20,54,Male,North,Email Marketing,140
C100363,2024-05-19,68,Male,Central,Social Media,420
C100364,2024-02-27,28,Male,West,Paid Ads,650
C100365,2023-04-13,31,Male,North,Email Marketing,140
C100366,2025-12-10,24,Female,East,Email Marketing,140
C100367,2025-08-29,55,Male,East,Organic Search,180
C100368,2023-02-23,42,Female,East,Social Media,420
C100369,2024-07-11,32,Female,South,Paid Ads,650
C100370,2024-09-08,29,Male,Central,Social Media,420
C100371,2024-08-26,21,Female,West,Referral,90
C100372,2026-03-27,42,Male,Central,Organic Search,180
C100373,2023-07-13,53,Female,West,Social Media,420
C100374,2024-01-29,30,Female,West,Paid Ads,650
C100375,2023-08-21,18,Male,West,Social Media,420
C100376,2023-11-10,42,Female,East,Organic Search,180
C100377,2026-03-12,53,Male,Central,Email Marketing,140
C100378,2026-04-24,35,Female,East,Social Media,420
C100379,2023-02-27,31,Female,North,Organic Search,180
C100380,2025-03-23,26,Male,East,Referral,90
C100381,2023-10-27,56,Female,North,Organic Search,180
C100382,2023-09-05,62,Female,Central,Social Media,420
C100383,2024-01-11,58,Female,East,Social Media,420
C100384,2023-09-07,44,Female,East,Organic Search,180
C100385,2024-09-22,55,Female,North,Organic Search,180
C100386,2026-07-04,38,Male,East,Organic Search,180
C100387,2025-01-24,19,Female,South,Referral,90
C100388,2025-07-19,37,Female,West,Referral,90
C100389,2024-09-26,54,Male,East,Organic Search,180
C100390,2023-01-18,51,Male,East,Organic Search,180
C100391,2023-04-19,69,Male,South,Email Marketing,140
C100392,2023-12-12,69,Male,East,Organic Search,180
C100393,2023-11-10,30,Male,East,Paid Ads,650
C100394,2025-12-16,18,Male,Central,Referral,90
C100395,2025-12-20,32,Female,Central,Organic Search,180
C100396,2026-01-03,63,Male,West,Direct,60
C100397,2025-03-30,60,Male,South,Organic Search,180
C100398,2024-12-16,23,Female,North,Email Marketing,140
C100399,2025-04-14,26,Male,Central,Paid Ads,650
C100400,2024-06-07,47,Male,Central,Organic Search,180
C100401,2025-05-11,52,Female,North,Paid Ads,650
C100402,2025-10-18,69,Other,West,Direct,60
C100403,2025-09-08,57,Female,South,Social Media,420
C100404,2025-02-28,29,Male,North,Organic Search,180
C100405,2023-03-16,19,Male,Central,Direct,60
C100406,2025-07-21,50,Other,Central,Organic Search,180
C100407,2024-04-16,46,Female,Central,Organic Search,180
C100408,2025-08-14,65,Female,North,Organic Search,180
C100409,2024-11-24,47,Female,East,Email Marketing,140
C100410,2026-02-07,44,Male,Central,Organic Search,180
C100411,2024-03-11,33,Male,West,Organic Search,180
C100412,2026-04-12,22,Female,South,Direct,60
C100413,2025-12-21,63,Female,East,Social Media,420
C100414,2024-03-01,60,Male,North,Paid Ads,650
C100415,2024-09-12,26,Female,East,Social Media,420
C100416,2024-11-14,54,Male,Central,Organic Search,180
C100417,2025-09-15,36,Female,North,Paid Ads,650
C100418,2025-06-05,40,Male,North,Paid Ads,650
C100419,2025-12-31,62,Female,East,Social Media,420
C100420,2024-04-20,61,Male,East,Referral,90
C100421,2024-10-11,27,Female,South,Paid Ads,650
C100422,2024-07-08,33,Female,North,Organic Search,180
C100423,2026-03-15,60,Male,West,Paid Ads,650
C100424,2024-01-28,65,Female,South,Referral,90
C100425,2025-01-25,22,Female,East,Referral,90
C100426,2023-06-04,61,Female,East,Referral,90
C100427,2025-12-29,43,Male,South,Direct,60
C100428,2024-05-09,48,Female,East,Email Marketing,140
C100429,2024-03-13,21,Female,West,Direct,60
C100430,2025-01-19,53,Female,East,Social Media,420
C100431,2024-10-03,53,Female,East,Organic Search,180
C100432,2025-12-26,52,Female,South,Social Media,420
C100433,2024-11-14,59,Male,South,Organic Search,180
C100434,2024-10-26,67,Male,East,Organic Search,180
C100435,2023-05-16,62,Male,South,Paid Ads,650
C100436,2023-01-29,56,Male,South,Paid Ads,650
C100437,2024-05-27,69,Male,North,Referral,90
C100438,2026-07-07,53,Male,West,Paid Ads,650
C100439,2026-03-25,52,Female,North,Organic Search,180
C100440,2025-03-19,46,Female,Central,Email Marketing,140
C100441,2025-03-22,57,Male,East,Social Media,420
C100442,2024-05-18,21,Female,North,Organic Search,180
C100443,2023-08-17,44,Female,East,Organic Search,180
C100444,2023-01-11,40,Female,South,Organic Search,180
C100445,2024-03-11,65,Female,Central,Email Marketing,140
C100446,2024-02-11,21,Other,Central,Organic Search,180
C100447,2023-09-04,51,Female,West,Direct,60
C100448,2023-11-30,27,Other,East,Organic Search,180
C100449,2023-02-01,63,Female,Central,Referral,90
C100450,2025-02-20,62,Male,East,Organic Search,180
C100451,2026-04-07,30,Female,Central,Paid Ads,650
C100452,2025-06-07,63,Female,North,Paid Ads,650
C100453,2024-07-30,43,Female,Central,Paid Ads,650
C100454,2024-06-24,68,Female,West,Direct,60
C100455,2024-01-31,55,Male,South,Referral,90
C100456,2023-07-03,19,Male,Central,Organic Search,180
C100457,2025-02-08,28,Female,West,Referral,90
C100458,2024-12-29,38,Female,Central,Organic Search,180
C100459,2023-01-10,28,Female,North,Direct,60
C100460,2024-06-18,24,Female,East,Paid Ads,650
C100461,2023-12-24,68,Female,West,Organic Search,180
C100462,2023-08-07,63,Female,North,Organic Search,180
C100463,2025-06-23,40,Male,West,Organic Search,180
C100464,2024-11-07,29,Female,East,Direct,60
C100465,2025-03-26,27,Male,South,Paid Ads,650
C100466,2025-07-06,65,Female,West,Organic Search,180
C100467,2026-06-16,35,Male,North,Email Marketing,140
C100468,2025-10-29,18,Female,West,Organic Search,180
C100469,2025-03-08,38,Male,Central,Organic Search,180
C100470,2026-02-04,41,Male,East,Social Media,420
C100471,2024-09-06,50,Female,East,Organic Search,180
C100472,2026-06-20,35,Female,South,Email Marketing,140
C100473,2025-09-06,65,Male,South,Social Media,420
C100474,2025-04-17,51,Female,Central,Organic Search,180
C100475,2026-03-07,69,Male,South,Paid Ads,650
C100476,2024-10-24,37,Male,South,Organic Search,180
C100477,2025-07-15,51,Male,South,Social Media,420
C100478,2024-01-02,36,Female,East,Social Media,420
C100479,2026-05-23,54,Female,West,Referral,90
C100480,2025-03-12,56,Female,North,Paid Ads,650
C100481,2025-10-02,34,Female,South,Referral,90
C100482,2024-08-15,66,Female,North,Organic Search,180
C100483,2026-01-19,62,Female,North,Direct,60
C100484,2023-04-06,64,Other,South,Organic Search,180
C100485,2023-05-27,29,Male,West,Email Marketing,140
C100486,2024-10-14,55,Male,East,Paid Ads,650
C100487,2025-07-30,23,Male,North,Organic Search,180
C100488,2025-11-06,23,Female,East,Paid Ads,650
C100489,2024-07-19,68,Female,West,Email Marketing,140
C100490,2025-04-15,25,Male,South,Email Marketing,140
C100491,2024-12-12,62,Female,South,Referral,90
C100492,2026-05-21,40,Female,West,Paid Ads,650
C100493,2025-04-21,33,Male,North,Social Media,420
C100494,2024-06-20,21,Male,West,Organic Search,180
C100495,2026-06-01,53,Male,West,Social Media,420
C100496,2023-05-18,55,Male,Central,Organic Search,180
C100497,2026-06-20,42,Female,North,Email Marketing,140
C100498,2023-07-18,60,Female,North,Referral,90
C100499,2024-01-06,34,Male,Central,Paid Ads,650
C100500,2025-11-22,46,Female,East,Social Media,420
C100501,2025-08-01,32,Male,South,Paid Ads,650
C100502,2026-06-01,48,Male,East,Organic Search,180
C100503,2025-08-22,25,Male,North,Organic Search,180
C100504,2025-03-30,42,Female,East,Organic Search,180
C100505,2024-03-21,46,Female,Central,Organic Search,180
C100506,2023-01-07,46,Female,West,Social Media,420
C100507,2023-06-09,41,Male,East,Referral,90
C100508,2024-01-18,51,Female,Central,Paid Ads,650
C100509,2023-02-22,44,Male,West,Direct,60
C100510,2024-10-15,32,Male,North,Email Marketing,140
C100511,2025-09-26,29,Female,West,Organic Search,180
C100512,2026-05-23,51,Female,North,Paid Ads,650
C100513,2024-09-21,66,Male,South,Email Marketing,140
C100514,2026-01-30,57,Female,East,Organic Search,180
C100515,2026-06-21,51,Female,North,Paid Ads,650
C100516,2026-01-10,65,Female,North,Direct,60
C100517,2024-08-20,64,Female,East,Referral,90
C100518,2024-02-23,44,Male,South,Email Marketing,140
C100519,2026-06-11,23,Female,East,Email Marketing,140
C100520,2023-11-08,50,Male,South,Organic Search,180
C100521,2024-06-13,50,Male,West,Referral,90
C100522,2023-04-06,32,Female,Central,Email Marketing,140
C100523,2025-10-17,62,Female,North,Organic Search,180
C100524,2025-04-15,63,Male,West,Organic Search,180
C100525,2023-04-20,35,Female,North,Organic Search,180
C100526,2023-10-13,42,Female,South,Referral,90
C100527,2024-12-15,28,Female,South,Referral,90
C100528,2024-11-25,27,Male,North,Email Marketing,140
C100529,2025-10-28,31,Male,North,Paid Ads,650
C100530,2023-12-09,37,Male,West,Social Media,420
C100531,2026-04-04,32,Male,West,Organic Search,180
C100532,2024-07-25,25,Male,Central,Direct,60
C100533,2025-11-23,41,Male,Central,Social Media,420
C100534,2023-11-03,50,Male,South,Referral,90
C100535,2023-02-17,34,Male,North,Paid Ads,650
C100536,2023-03-12,45,Female,North,Organic Search,180
