customer_id,churn_probability,risk_category,top_risk_factors
C100463,0.6964,High,orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 322.00 (decreasing churn risk) | total historical order count: 4 (increasing churn risk) | 120 days since last purchase (increasing churn risk) | total historical spend: 39235.52 (increasing churn risk)
C100465,0.6216,High,orders in the last 90 days: 0 (increasing churn risk) | 252 days since last purchase (increasing churn risk) | customer tenure: 411.00 (decreasing churn risk) | average support satisfaction score: 5.00 (decreasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100480,0.7446,High,orders in the last 90 days: 1 (increasing churn risk) | 2 days since last purchase (decreasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total qty: 10.00 (increasing churn risk) | total historical order count: 5 (increasing churn risk)
C100493,0.7158,High,orders in the last 90 days: 0 (increasing churn risk) | std order value: 28528.70 (decreasing churn risk) | total historical order count: 2 (increasing churn risk) | 148 days since last purchase (increasing churn risk) | customer tenure: 385.00 (decreasing churn risk)
C100499,0.9587,High,customer tenure: 856.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 1 (increasing churn risk) | 325 days since last purchase (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100505,0.9676,High,436 days since last purchase (increasing churn risk) | customer tenure: 781.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 1 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100506,0.979,High,customer tenure: 1220.00 (increasing churn risk) | 404 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 3 (increasing churn risk)
C100516,0.7953,High,customer tenure: 121.00 (decreasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | overall engagement score: 10.00 (increasing churn risk)
C100526,0.9362,High,std order value: 47623.52 (increasing churn risk) | customer tenure: 941.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 18 (decreasing churn risk) | 101 days since last purchase (increasing churn risk)
C100530,0.7967,High,orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 4 (increasing churn risk) | avg order value: 5362.83 (decreasing churn risk) | average support satisfaction score: 5.00 (decreasing churn risk) | customer tenure: 884.00 (increasing churn risk)
C100535,0.9132,High,455 days since last purchase (increasing churn risk) | customer tenure: 1179.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | avg order value: 4371.34 (decreasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100541,0.9733,High,514 days since last purchase (increasing churn risk) | customer tenure: 1086.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 8 (increasing churn risk)
C100560,0.9595,High,customer tenure: 926.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 4 (increasing churn risk) | 178 days since last purchase (increasing churn risk) | reliance on discounts: 38.2% (increasing churn risk)
C100563,0.9761,High,customer tenure: 1221.00 (increasing churn risk) | 312 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 5 (increasing churn risk)
C100574,0.79,High,247 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 441.00 (decreasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical spend: 63855.36 (increasing churn risk)
C100577,0.7296,High,customer tenure: 921.00 (increasing churn risk) | avg order value: 4357.25 (decreasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 1 (increasing churn risk) | overall engagement score: 48.62 (decreasing churn risk)
C100580,0.7759,High,orders in the last 90 days: 1 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | 71 days since last purchase (decreasing churn risk) | total historical spend: 43608.34 (increasing churn risk) | total historical order count: 6 (increasing churn risk)
C100603,0.6365,High,customer tenure: 188.00 (decreasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 2 (increasing churn risk) | total historical spend: 23164.61 (increasing churn risk) | product category diversity: 2 (increasing churn risk)
C100631,0.8995,High,456 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 1140.00 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 14 (decreasing churn risk)
C100633,0.9548,High,customer tenure: 967.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | 267 days since last purchase (increasing churn risk) | total historical order count: 4 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100660,0.9678,High,490 days since last purchase (increasing churn risk) | customer tenure: 833.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 3 (increasing churn risk) | avg order value: 3227.17 (decreasing churn risk)
C100663,0.7468,High,orders in the last 90 days: 1 (increasing churn risk) | customer tenure: 272.00 (decreasing churn risk) | total historical order count: 3 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | reliance on discounts: 16.7% (decreasing churn risk)
C100679,0.9722,High,611 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 862.00 (increasing churn risk) | avg order value: 35966.79 (increasing churn risk) | total historical order count: 2 (increasing churn risk)
C100689,0.6689,High,avg order value: 4295.20 (decreasing churn risk) | orders in the last 90 days: 1 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | average support satisfaction score: 1.00 (increasing churn risk) | total historical order count: 9 (decreasing churn risk)
C100703,0.6455,High,orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 4 (increasing churn risk) | region North: 0.00 (decreasing churn risk) | total qty: 14.00 (increasing churn risk) | age: 35.00 (decreasing churn risk)
C100723,0.8866,High,384 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 910.00 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | reliance on discounts: 16.6% (decreasing churn risk)
C100732,0.9273,High,863 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 2 (increasing churn risk) | avg order value: 1016.08 (decreasing churn risk) | customer tenure: 1165.00 (increasing churn risk)
C100742,0.9555,High,508 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 649.00 (increasing churn risk) | total historical order count: 2 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100752,0.8597,High,customer tenure: 854.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 10 (decreasing churn risk) | 200 days since last purchase (increasing churn risk)
C100753,0.987,High,578 days since last purchase (increasing churn risk) | customer tenure: 1082.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | reliance on discounts: 50.0% (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100775,0.9583,High,customer tenure: 915.00 (increasing churn risk) | 274 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 4 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100779,0.706,High,orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 348.00 (decreasing churn risk) | 207 days since last purchase (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical spend: 73187.98 (increasing churn risk)
C100788,0.8443,High,orders in the prior 90-day period: 0 (increasing churn risk) | average support satisfaction score: 1.00 (increasing churn risk) | total historical order count: 5 (increasing churn risk) | customer tenure: 590.00 (increasing churn risk) | total qty: 14.00 (increasing churn risk)
C100793,0.7693,High,customer tenure: 1033.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | 251 days since last purchase (increasing churn risk) | total historical order count: 14 (decreasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100850,0.9567,High,729 days since last purchase (increasing churn risk) | overall engagement score: 0.24 (decreasing churn risk) | customer tenure: 845.00 (increasing churn risk) | reliance on discounts: 49.7% (increasing churn risk) | total historical order count: 1 (increasing churn risk)
C100873,0.8188,High,customer tenure: 819.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 14 (decreasing churn risk) | 219 days since last purchase (increasing churn risk)
C100887,0.8919,High,orders in the last 90 days: 0 (increasing churn risk) | 247 days since last purchase (increasing churn risk) | total historical order count: 4 (increasing churn risk) | avg order value: 4899.77 (decreasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C100905,0.8296,High,orders in the last 90 days: 0 (increasing churn risk) | 206 days since last purchase (increasing churn risk) | total historical order count: 4 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total qty: 13.00 (increasing churn risk)
C100911,0.8805,High,495 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | customer tenure: 1162.00 (increasing churn risk) | total historical order count: 20 (decreasing churn risk)
C100912,0.7516,High,std order value: 48179.63 (increasing churn risk) | orders in the last 90 days: 1 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | customer tenure: 651.00 (increasing churn risk) | total qty: 88.00 (decreasing churn risk)
C100929,0.7298,High,customer tenure: 900.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | 172 days since last purchase (increasing churn risk) | total historical order count: 12 (decreasing churn risk) | reliance on discounts: 34.0% (decreasing churn risk)
C100941,0.8742,High,orders in the last 90 days: 0 (increasing churn risk) | 188 days since last purchase (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | avg order value: 72935.36 (increasing churn risk) | total historical order count: 3 (increasing churn risk)
C100978,0.9437,High,411 days since last purchase (increasing churn risk) | customer tenure: 913.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 4 (increasing churn risk)
C101008,0.9831,High,667 days since last purchase (increasing churn risk) | customer tenure: 1222.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 3 (increasing churn risk)
C101023,0.6084,High,orders in the last 90 days: 1 (increasing churn risk) | 13 days since last purchase (decreasing churn risk) | customer tenure: 719.00 (increasing churn risk) | total historical order count: 14 (decreasing churn risk) | orders in the prior 90-day period: 1 (increasing churn risk)
C101047,0.9533,High,customer tenure: 1017.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | 204 days since last purchase (increasing churn risk) | total historical order count: 4 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101050,0.7498,High,orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 1166.00 (increasing churn risk) | product category diversity: 10 (decreasing churn risk) | avg order value: 14288.23 (decreasing churn risk) | total historical order count: 7 (increasing churn risk)
C101056,0.8998,High,450 days since last purchase (increasing churn risk) | customer tenure: 972.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 20 (decreasing churn risk)
C101059,0.7504,High,orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 257.00 (decreasing churn risk) | 211 days since last purchase (increasing churn risk) | avg order value: 61224.57 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101072,0.8437,High,orders in the last 90 days: 0 (increasing churn risk) | 299 days since last purchase (increasing churn risk) | total historical order count: 4 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total qty: 12.00 (increasing churn risk)
C101077,0.9661,High,607 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 0 (increasing churn risk) | overall engagement score: 10.00 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101081,0.7069,High,orders in the last 90 days: 0 (increasing churn risk) | 94 days since last purchase (increasing churn risk) | orders in the prior 90-day period: 3 (decreasing churn risk) | avg order value: 20461.03 (increasing churn risk) | total refund: 77006.91 (increasing churn risk)
C101088,0.6706,High,customer tenure: 1052.00 (increasing churn risk) | orders in the last 90 days: 1 (increasing churn risk) | 32 days since last purchase (decreasing churn risk) | total historical order count: 14 (decreasing churn risk) | avg order value: 25386.53 (increasing churn risk)
C101089,0.8805,High,customer tenure: 847.00 (increasing churn risk) | orders in the last 90 days: 1 (increasing churn risk) | 26 days since last purchase (decreasing churn risk) | total historical order count: 4 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101090,0.8893,High,customer tenure: 824.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 5 (increasing churn risk) | 169 days since last purchase (increasing churn risk) | avg order value: 13079.34 (increasing churn risk)
C101098,0.6961,High,orders in the last 90 days: 1 (increasing churn risk) | 74 days since last purchase (decreasing churn risk) | total qty: 10.00 (increasing churn risk) | region North: 0.00 (decreasing churn risk) | total historical spend: 51397.15 (increasing churn risk)
C101105,0.6223,High,customer tenure: 1049.00 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | 11 days since last purchase (decreasing churn risk) | total historical order count: 13 (decreasing churn risk) | average support satisfaction score: 1.00 (increasing churn risk)
C101114,0.8121,High,orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 271.00 (decreasing churn risk) | 222 days since last purchase (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 2 (increasing churn risk)
C101136,0.7811,High,customer tenure: 1084.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 17 (decreasing churn risk) | total qty: 78.00 (decreasing churn risk) | orders in the prior 90-day period: 1 (increasing churn risk)
C101137,0.7373,High,customer tenure: 249.00 (decreasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | 239 days since last purchase (increasing churn risk) | total historical order count: 1 (increasing churn risk) | avg order value: 5491.92 (decreasing churn risk)
C101145,0.9542,High,437 days since last purchase (increasing churn risk) | customer tenure: 1071.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | avg order value: 29448.77 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101155,0.9671,High,750 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 996.00 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 3 (increasing churn risk)
C101161,0.9832,High,451 days since last purchase (increasing churn risk) | customer tenure: 911.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 4 (increasing churn risk)
C101173,0.9793,High,775 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 907.00 (increasing churn risk) | total historical order count: 1 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101186,0.9354,High,410 days since last purchase (increasing churn risk) | customer tenure: 864.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 5 (increasing churn risk)
