interaction_id,customer_id,interaction_date,channel,type,satisfaction_score
S000106,C100034,2025-11-18,Social Media,Refund Request,1
S000107,C100034,2025-11-23,Chat,Complaint,1
S000108,C100034,2025-11-29,Social Media,Complaint,2
S000109,C100034,2025-12-12,Chat,Feedback,1
S000110,C100034,2025-12-22,Chat,Query,1
S000111,C100034,2026-01-16,Phone,Feedback,2
S000112,C100034,2026-01-16,Email,Complaint,2
S000113,C100034,2026-01-16,Email,Refund Request,1
S000114,C100034,2026-04-04,Social Media,Feedback,3
S000115,C100034,2026-05-01,Social Media,Feedback,1
S000116,C100034,2026-06-03,Email,Feedback,1
S000117,C100034,2026-06-26,Phone,Query,3
S000118,C100034,2026-07-03,Email,Refund Request,1
S000119,C100034,2026-07-11,Chat,Complaint,1
S000120,C100034,2024-06-01,Phone,Complaint,3
S000121,C100034,2025-12-17,Social Media,Complaint,2
S000122,C100034,2025-10-26,Social Media,Query,2
S000123,C100034,2025-02-15,Email,Query,1
S000124,C100035,2025-12-13,Phone,Feedback,2
S000125,C100036,2025-03-01,Chat,Refund Request,3
S000126,C100036,2025-05-23,Phone,Query,1
S000127,C100036,2025-05-31,Social Media,Complaint,3
S000128,C100036,2025-06-09,Social Media,Complaint,4
S000129,C100036,2025-07-24,Chat,Query,3
S000130,C100036,2026-01-23,Email,Feedback,3
S000131,C100036,2026-03-30,Chat,Complaint,5
S000132,C100036,2026-04-23,Email,Complaint,1
S000133,C100037,2024-11-19,Chat,Complaint,2
S000134,C100037,2024-12-18,Email,Complaint,2
S000135,C100037,2025-01-18,Social Media,Complaint,3
S000136,C100037,2025-09-26,Chat,Complaint,3
S000137,C100037,2026-02-18,Social Media,Refund Request,3
S000138,C100037,2026-07-18,Email,Complaint,3
S000139,C100037,2026-08-04,Email,Feedback,1
S000140,C100037,2024-10-01,Chat,Query,4
S000141,C100038,2026-05-22,Email,Refund Request,3
S000142,C100039,2024-10-24,Email,Refund Request,3
S000143,C100039,2025-01-11,Email,Complaint,3
S000144,C100039,2025-01-25,Email,Query,3
S000145,C100039,2025-12-06,Social Media,Query,5
S000146,C100039,2026-05-08,Phone,Refund Request,1
S000147,C100041,2026-07-21,Social Media,Feedback,3
S000148,C100042,2023-04-21,Chat,Refund Request,4
S000149,C100042,2023-10-31,Chat,Refund Request,1
S000150,C100042,2024-04-22,Email,Query,2
S000151,C100042,2024-05-22,Chat,Feedback,3
S000152,C100042,2024-06-15,Social Media,Complaint,2
S000153,C100042,2024-12-05,Email,Query,4
S000154,C100042,2025-03-26,Email,Query,2
S000155,C100042,2025-05-31,Email,Query,5
S000156,C100042,2025-11-23,Social Media,Query,3
S000157,C100042,2026-07-05,Social Media,Complaint,3
S000158,C100043,2025-12-13,Chat,Complaint,2
S000159,C100043,2025-09-12,Phone,Complaint,3
S000160,C100046,2025-05-22,Social Media,Feedback,2
S000161,C100046,2025-06-18,Phone,Complaint,3
S000162,C100046,2026-05-26,Phone,Query,2
S000163,C100046,2026-08-10,Chat,Feedback,1
S000164,C100046,2025-12-09,Chat,Feedback,1
S000165,C100046,2025-01-20,Phone,Query,2
S000166,C100047,2024-03-05,Email,Complaint,2
S000167,C100047,2026-01-23,Phone,Feedback,2
S000168,C100048,2024-04-08,Phone,Refund Request,1
S000169,C100048,2024-05-09,Email,Query,2
S000170,C100048,2024-09-24,Phone,Complaint,2
S000171,C100048,2025-01-27,Chat,Refund Request,3
S000172,C100048,2025-04-18,Phone,Feedback,2
S000173,C100048,2025-06-13,Chat,Query,3
S000174,C100048,2025-08-08,Social Media,Complaint,3
S000175,C100048,2026-01-17,Email,Complaint,1
S000176,C100048,2026-01-20,Email,Complaint,2
S000177,C100048,2026-06-14,Email,Complaint,3
S000178,C100048,2026-01-31,Email,Feedback,2
S000179,C100050,2026-05-31,Social Media,Complaint,3
S000180,C100050,2026-03-07,Social Media,Feedback,3
S000181,C100051,2025-04-23,Social Media,Complaint,1
S000182,C100051,2025-05-28,Phone,Complaint,3
S000183,C100051,2025-06-09,Email,Feedback,2
S000184,C100051,2025-06-29,Social Media,Complaint,4
S000185,C100051,2025-08-20,Chat,Complaint,1
S000186,C100051,2025-12-24,Email,Feedback,2
S000187,C100051,2026-02-04,Phone,Complaint,2
S000188,C100051,2026-05-11,Email,Feedback,2
S000189,C100051,2026-05-26,Social Media,Complaint,3
S000190,C100052,2023-09-30,Email,Query,2
S000191,C100052,2023-10-12,Social Media,Complaint,3
S000192,C100052,2024-02-19,Social Media,Feedback,1
S000193,C100052,2025-03-18,Email,Refund Request,2
S000194,C100052,2025-05-17,Phone,Complaint,1
S000195,C100052,2025-06-04,Email,Complaint,1
S000196,C100052,2025-07-11,Social Media,Refund Request,3
S000197,C100052,2025-07-23,Social Media,Refund Request,2
S000198,C100052,2024-01-25,Social Media,Complaint,3
S000199,C100052,2025-11-06,Social Media,Query,1
S000200,C100053,2025-11-21,Chat,Complaint,3
S000201,C100053,2023-12-24,Phone,Complaint,2
S000202,C100054,2024-11-03,Social Media,Query,3
S000203,C100056,2023-11-24,Phone,Feedback,3
S000204,C100058,2025-03-27,Email,Query,4
S000205,C100059,2023-02-20,Social Media,Complaint,3
S000206,C100059,2023-03-13,Chat,Feedback,1
S000207,C100059,2023-05-04,Phone,Feedback,3
S000208,C100059,2023-10-21,Phone,Feedback,2
S000209,C100059,2024-02-07,Chat,Query,3
S000210,C100059,2024-03-05,Phone,Feedback,1
S000211,C100059,2024-05-21,Social Media,Feedback,2
S000212,C100059,2024-07-27,Social Media,Complaint,3
S000213,C100059,2024-11-12,Chat,Query,2
S000214,C100059,2024-11-16,Social Media,Refund Request,2
S000215,C100059,2024-11-30,Social Media,Query,2
S000216,C100059,2025-02-10,Phone,Complaint,2
S000217,C100059,2025-04-27,Social Media,Query,1
S000218,C100059,2025-12-06,Social Media,Query,4
S000219,C100059,2025-12-19,Email,Complaint,2
S000220,C100059,2026-01-06,Chat,Query,1
S000221,C100059,2025-07-11,Social Media,Query,3
S000222,C100060,2024-01-12,Phone,Query,2
S000223,C100060,2024-05-15,Phone,Complaint,3
S000224,C100060,2025-02-25,Chat,Complaint,3
S000225,C100061,2024-11-13,Social Media,Query,2
S000226,C100061,2025-02-06,Social Media,Complaint,2
S000227,C100061,2025-08-03,Email,Refund Request,2
S000228,C100061,2025-01-26,Chat,Feedback,2
S000229,C100061,2025-02-23,Social Media,Feedback,1
S000230,C100061,2025-06-17,Email,Complaint,3
S000231,C100062,2026-07-26,Email,Complaint,2
S000232,C100062,2026-08-04,Social Media,Feedback,2
S000233,C100062,2025-12-05,Email,Complaint,2
S000234,C100062,2026-02-21,Chat,Query,3
S000235,C100063,2026-02-04,Chat,Query,2
S000236,C100064,2026-03-26,Phone,Query,2
S000237,C100065,2024-03-23,Phone,Complaint,2
S000238,C100065,2024-09-16,Email,Refund Request,3
S000239,C100065,2026-07-16,Phone,Complaint,2
S000240,C100065,2024-03-08,Email,Complaint,2
S000241,C100066,2026-06-30,Email,Feedback,2
S000242,C100066,2026-07-23,Chat,Complaint,1
S000243,C100066,2026-08-03,Phone,Complaint,2
S000244,C100066,2026-06-06,Phone,Complaint,3
S000245,C100066,2026-07-03,Chat,Complaint,3
S000246,C100068,2024-02-17,Social Media,Complaint,2
S000247,C100068,2024-09-09,Chat,Refund Request,2
S000248,C100068,2024-10-05,Chat,Feedback,4
S000249,C100068,2024-12-14,Email,Complaint,1
S000250,C100068,2026-03-20,Chat,Complaint,4
S000251,C100068,2026-05-24,Social Media,Feedback,3
S000252,C100069,2024-10-29,Social Media,Complaint,3
S000253,C100069,2024-11-20,Chat,Complaint,3
S000254,C100069,2025-03-05,Chat,Complaint,1
S000255,C100069,2025-12-26,Email,Query,1
S000256,C100069,2026-02-03,Social Media,Complaint,1
S000257,C100069,2026-03-27,Chat,Complaint,3
S000258,C100069,2026-04-16,Phone,Query,2
S000259,C100070,2024-04-01,Phone,Complaint,2
S000260,C100071,2026-02-07,Social Media,Query,3
S000261,C100072,2024-11-25,Email,Query,1
S000262,C100072,2025-04-08,Chat,Complaint,3
S000263,C100072,2026-05-10,Chat,Feedback,1
S000264,C100072,2026-07-21,Phone,Complaint,3
S000265,C100073,2026-04-12,Chat,Complaint,2
S000266,C100073,2026-05-15,Phone,Query,4
S000267,C100074,2025-09-19,Chat,Complaint,1
S000268,C100075,2026-03-13,Social Media,Feedback,2
S000269,C100075,2026-07-19,Social Media,Query,4
S000270,C100075,2026-07-31,Chat,Query,2
S000271,C100076,2026-02-16,Chat,Query,4
S000272,C100076,2026-02-18,Social Media,Query,3
S000273,C100076,2026-05-09,Chat,Feedback,3
S000274,C100076,2025-02-04,Email,Complaint,4
S000275,C100077,2026-02-17,Chat,Query,4
S000276,C100077,2026-03-03,Chat,Complaint,3
S000277,C100077,2026-03-12,Social Media,Complaint,1
S000278,C100077,2026-01-31,Phone,Complaint,1
S000279,C100078,2024-10-29,Phone,Query,1
S000280,C100079,2026-08-08,Email,Query,1
S000281,C100080,2023-05-13,Social Media,Query,2
S000282,C100080,2024-03-02,Social Media,Complaint,2
S000283,C100080,2024-08-11,Phone,Complaint,3
S000284,C100080,2025-01-10,Email,Refund Request,3
S000285,C100080,2025-03-04,Social Media,Query,1
S000286,C100080,2025-04-22,Chat,Complaint,2
S000287,C100080,2025-07-23,Phone,Refund Request,2
S000288,C100080,2025-10-03,Chat,Refund Request,1
S000289,C100080,2025-10-15,Email,Complaint,2
S000290,C100080,2025-11-14,Social Media,Complaint,2
S000291,C100080,2025-11-25,Social Media,Complaint,2
S000292,C100080,2025-12-08,Phone,Complaint,3
S000293,C100080,2026-01-04,Chat,Complaint,3
S000294,C100080,2026-03-15,Social Media,Complaint,3
S000295,C100080,2026-04-27,Phone,Complaint,4
S000296,C100080,2025-09-21,Email,Complaint,4
S000297,C100082,2026-05-25,Social Media,Complaint,2
S000298,C100083,2025-02-01,Phone,Refund Request,3
S000299,C100084,2025-12-29,Phone,Complaint,3
S000300,C100084,2026-03-03,Phone,Complaint,3
S000301,C100085,2026-02-03,Phone,Query,4
S000302,C100085,2026-08-07,Email,Refund Request,3
S000303,C100087,2023-07-12,Social Media,Feedback,4
S000304,C100087,2023-07-24,Phone,Refund Request,5
S000305,C100088,2026-05-05,Email,Feedback,2
S000306,C100088,2026-06-17,Phone,Query,2
S000307,C100092,2023-09-16,Chat,Feedback,2
S000308,C100092,2023-12-04,Phone,Feedback,1
S000309,C100092,2025-02-17,Phone,Complaint,4
S000310,C100092,2026-04-16,Phone,Feedback,2
S000311,C100093,2025-11-25,Email,Complaint,3
S000312,C100093,2026-02-27,Social Media,Complaint,1
S000313,C100093,2025-10-25,Phone,Feedback,1
S000314,C100093,2025-10-12,Social Media,Complaint,3
S000315,C100094,2025-04-07,Email,Refund Request,3
S000316,C100094,2025-05-18,Email,Query,4
S000317,C100094,2025-11-27,Social Media,Complaint,3
S000318,C100095,2025-04-11,Phone,Feedback,2
S000319,C100096,2025-08-25,Phone,Feedback,2
S000320,C100096,2026-01-25,Chat,Feedback,2
S000321,C100096,2026-05-28,Phone,Refund Request,3
S000322,C100096,2026-05-02,Email,Complaint,3
S000323,C100097,2026-06-10,Chat,Refund Request,3
S000324,C100100,2024-04-15,Email,Complaint,2
S000325,C100100,2024-07-16,Phone,Query,4
S000326,C100100,2025-05-31,Email,Complaint,1
S000327,C100100,2025-11-10,Social Media,Complaint,2
S000328,C100101,2023-11-23,Email,Feedback,3
S000329,C100101,2024-06-23,Phone,Complaint,2
S000330,C100101,2024-11-02,Email,Complaint,1
S000331,C100101,2025-04-07,Phone,Refund Request,4
S000332,C100101,2025-05-26,Chat,Refund Request,5
S000333,C100101,2025-06-06,Phone,Complaint,3
S000334,C100101,2025-07-04,Email,Complaint,4
S000335,C100101,2025-07-23,Email,Refund Request,2
S000336,C100101,2025-10-08,Chat,Feedback,3
S000337,C100101,2025-10-13,Social Media,Complaint,2
S000338,C100101,2026-02-25,Phone,Feedback,2
S000339,C100101,2026-03-12,Social Media,Query,2
S000340,C100101,2026-06-05,Chat,Query,4
S000341,C100101,2026-06-19,Chat,Refund Request,2
S000342,C100102,2024-09-16,Email,Complaint,3
S000343,C100102,2024-11-11,Phone,Complaint,4
S000344,C100102,2025-07-18,Phone,Query,2
S000345,C100102,2025-10-01,Social Media,Query,4
S000346,C100102,2026-01-27,Email,Feedback,3
S000347,C100103,2023-09-17,Email,Feedback,3
S000348,C100103,2023-12-25,Social Media,Complaint,2
S000349,C100104,2026-02-03,Social Media,Complaint,1
S000350,C100104,2026-02-25,Chat,Refund Request,2
S000351,C100104,2026-03-16,Phone,Complaint,4
S000352,C100104,2026-05-15,Phone,Refund Request,2
S000353,C100104,2026-06-28,Phone,Complaint,1
S000354,C100105,2025-10-01,Phone,Complaint,3
S000355,C100105,2026-01-12,Email,Complaint,4
S000356,C100105,2026-04-20,Social Media,Complaint,5
S000357,C100105,2026-07-26,Chat,Complaint,3
S000358,C100105,2025-12-08,Social Media,Query,2
S000359,C100106,2026-06-08,Email,Query,2
S000360,C100107,2023-10-15,Email,Query,3
S000361,C100108,2023-06-15,Email,Complaint,3
S000362,C100108,2026-06-30,Social Media,Complaint,1
S000363,C100110,2024-05-04,Email,Feedback,4
S000364,C100110,2025-09-15,Phone,Refund Request,2
S000365,C100110,2026-07-18,Social Media,Feedback,1
S000366,C100110,2026-07-27,Chat,Query,1
S000367,C100110,2025-06-04,Chat,Feedback,3
S000368,C100110,2024-07-03,Phone,Complaint,2
S000369,C100111,2025-06-12,Social Media,Complaint,5
S000370,C100111,2025-07-23,Email,Refund Request,2
S000371,C100111,2025-08-12,Chat,Query,1
S000372,C100111,2025-12-05,Social Media,Complaint,1
S000373,C100111,2026-05-18,Social Media,Feedback,3
S000374,C100111,2026-07-09,Email,Complaint,1
S000375,C100111,2026-07-21,Social Media,Query,2
S000376,C100111,2025-08-12,Social Media,Complaint,3
S000377,C100115,2023-05-08,Chat,Complaint,1
S000378,C100115,2024-06-18,Social Media,Feedback,1
S000379,C100116,2023-10-01,Phone,Query,3
S000380,C100116,2023-12-29,Social Media,Refund Request,2
S000381,C100116,2024-02-02,Chat,Complaint,2
S000382,C100116,2024-08-07,Email,Query,3
S000383,C100116,2024-10-16,Phone,Refund Request,5
S000384,C100116,2024-10-22,Social Media,Complaint,1
S000385,C100116,2024-12-12,Social Media,Refund Request,4
S000386,C100116,2025-03-12,Phone,Query,3
S000387,C100116,2025-03-22,Chat,Query,2
S000388,C100116,2025-08-11,Social Media,Complaint,3
S000389,C100116,2025-08-28,Email,Feedback,2
S000390,C100116,2026-02-07,Social Media,Complaint,2
S000391,C100116,2026-05-25,Social Media,Complaint,2
S000392,C100116,2026-07-06,Phone,Refund Request,3
S000393,C100117,2024-12-14,Social Media,Feedback,3
S000394,C100118,2026-01-12,Social Media,Refund Request,2
S000395,C100119,2025-08-08,Chat,Feedback,2
S000396,C100119,2026-01-17,Phone,Feedback,2
S000397,C100121,2026-04-09,Chat,Refund Request,1
S000398,C100121,2026-07-11,Phone,Feedback,4
S000399,C100121,2026-07-08,Email,Feedback,3
S000400,C100122,2026-07-14,Email,Complaint,1
S000401,C100122,2026-06-25,Social Media,Complaint,3
S000402,C100122,2026-08-07,Social Media,Feedback,1
S000403,C100122,2026-07-01,Phone,Feedback,3
S000404,C100122,2026-07-12,Phone,Complaint,1
S000405,C100123,2024-03-13,Phone,Complaint,2
S000406,C100123,2025-11-11,Social Media,Complaint,3
S000407,C100123,2025-06-17,Phone,Complaint,3
S000408,C100124,2024-10-12,Email,Refund Request,2
S000409,C100124,2024-11-10,Phone,Feedback,1
S000410,C100124,2025-02-15,Social Media,Feedback,3
S000411,C100124,2025-05-24,Email,Feedback,1
S000412,C100124,2025-06-07,Email,Complaint,2
S000413,C100124,2025-10-15,Email,Refund Request,4
S000414,C100124,2026-03-08,Email,Feedback,2
S000415,C100124,2026-03-14,Email,Feedback,2
S000416,C100124,2026-03-24,Social Media,Complaint,1
S000417,C100124,2026-05-13,Chat,Complaint,2
S000418,C100124,2026-07-23,Email,Query,2
S000419,C100124,2025-05-08,Social Media,Feedback,2
S000420,C100124,2025-03-03,Phone,Complaint,3
S000421,C100125,2026-03-17,Phone,Query,2
S000422,C100126,2024-01-01,Phone,Feedback,3
S000423,C100126,2024-02-02,Chat,Query,1
S000424,C100126,2024-07-31,Chat,Feedback,2
S000425,C100127,2023-05-16,Social Media,Complaint,2
S000426,C100127,2023-06-30,Social Media,Complaint,1
S000427,C100127,2023-08-24,Email,Complaint,2
S000428,C100127,2023-08-22,Phone,Feedback,2
S000429,C100127,2023-10-19,Social Media,Complaint,2
S000430,C100127,2023-12-19,Chat,Query,3
S000431,C100127,2024-01-27,Chat,Query,3
S000432,C100127,2024-02-21,Social Media,Complaint,2
S000433,C100127,2024-02-26,Social Media,Query,2
S000434,C100127,2024-03-19,Phone,Feedback,1
S000435,C100127,2024-04-07,Email,Complaint,2
S000436,C100127,2024-05-02,Chat,Refund Request,3
S000437,C100127,2024-05-30,Social Media,Refund Request,4
S000438,C100127,2024-06-03,Chat,Feedback,3
S000439,C100127,2024-07-05,Social Media,Query,1
S000440,C100127,2024-08-04,Chat,Complaint,3
S000441,C100127,2024-08-11,Social Media,Complaint,2
S000442,C100127,2024-11-25,Email,Feedback,4
S000443,C100127,2024-12-08,Chat,Feedback,2
S000444,C100127,2024-12-24,Social Media,Query,1
S000445,C100127,2025-02-19,Social Media,Query,2
S000446,C100127,2025-03-28,Phone,Feedback,1
S000447,C100127,2025-04-16,Email,Refund Request,1
S000448,C100127,2025-05-05,Phone,Refund Request,2
S000449,C100127,2025-07-13,Chat,Feedback,2
S000450,C100127,2025-07-15,Chat,Query,1
S000451,C100127,2025-12-13,Email,Refund Request,1
S000452,C100127,2025-12-21,Social Media,Refund Request,2
S000453,C100127,2026-04-11,Phone,Complaint,2
S000454,C100127,2026-04-13,Social Media,Complaint,2
S000455,C100127,2026-05-12,Email,Complaint,1
S000456,C100127,2026-06-09,Social Media,Complaint,1
S000457,C100127,2026-06-07,Social Media,Query,1
S000458,C100127,2026-07-29,Phone,Feedback,2
S000459,C100127,2023-07-24,Chat,Feedback,1
S000460,C100127,2026-03-09,Chat,Complaint,1
S000461,C100130,2026-06-27,Chat,Complaint,1
S000462,C100131,2026-05-17,Phone,Complaint,1
S000463,C100132,2023-06-08,Email,Complaint,2
S000464,C100132,2025-04-22,Email,Complaint,1
S000465,C100132,2026-08-02,Chat,Feedback,2
S000466,C100133,2025-12-27,Email,Feedback,3
S000467,C100134,2026-07-10,Social Media,Complaint,2
S000468,C100135,2025-12-14,Social Media,Query,2
S000469,C100135,2026-01-16,Email,Feedback,3
S000470,C100135,2026-07-02,Chat,Feedback,1
S000471,C100136,2026-03-04,Social Media,Feedback,1
S000472,C100137,2026-07-08,Social Media,Feedback,2
S000473,C100137,2026-04-12,Phone,Query,4
S000474,C100138,2024-09-12,Social Media,Feedback,2
S000475,C100138,2025-08-07,Phone,Feedback,3
S000476,C100139,2023-12-07,Chat,Feedback,2
S000477,C100139,2025-10-06,Email,Query,2
S000478,C100140,2025-12-14,Email,Complaint,4
S000479,C100140,2026-03-16,Phone,Feedback,3
S000480,C100140,2025-01-01,Social Media,Complaint,1
S000481,C100140,2025-05-15,Phone,Complaint,2
S000482,C100140,2025-08-25,Chat,Query,1
S000483,C100140,2025-08-25,Chat,Query,1
S000484,C100141,2025-06-25,Chat,Refund Request,1
S000485,C100142,2024-03-31,Social Media,Feedback,4
S000486,C100142,2024-05-22,Chat,Feedback,4
S000487,C100142,2024-09-14,Email,Complaint,3
S000488,C100142,2024-12-15,Social Media,Refund Request,1
S000489,C100142,2025-02-08,Phone,Feedback,2
S000490,C100142,2025-04-22,Phone,Complaint,3
S000491,C100142,2025-05-20,Phone,Complaint,1
S000492,C100142,2025-05-27,Phone,Refund Request,3
S000493,C100142,2025-09-11,Chat,Query,3
S000494,C100142,2025-10-14,Phone,Complaint,3
S000495,C100142,2025-12-04,Email,Refund Request,2
S000496,C100142,2026-01-02,Social Media,Refund Request,1
S000497,C100142,2026-04-27,Social Media,Complaint,3
S000498,C100143,2023-09-30,Email,Complaint,2
S000499,C100143,2023-11-14,Social Media,Query,2
S000500,C100143,2025-06-13,Email,Complaint,3
S000501,C100143,2025-09-25,Phone,Complaint,2
S000502,C100143,2025-12-14,Chat,Refund Request,2
S000503,C100143,2024-12-24,Chat,Complaint,1
S000504,C100143,2025-03-25,Social Media,Query,5
S000505,C100143,2023-11-03,Phone,Feedback,3
S000506,C100144,2025-06-24,Social Media,Complaint,2
S000507,C100144,2025-09-14,Email,Complaint,3
S000508,C100145,2025-01-22,Chat,Complaint,3
S000509,C100145,2025-05-11,Social Media,Complaint,4
S000510,C100145,2025-07-08,Social Media,Refund Request,3
S000511,C100146,2026-08-04,Phone,Query,3
S000512,C100148,2025-12-13,Chat,Complaint,3
S000513,C100149,2025-11-05,Social Media,Query,3
S000514,C100149,2025-11-12,Social Media,Feedback,2
S000515,C100149,2025-12-19,Phone,Refund Request,2
S000516,C100149,2026-06-06,Chat,Complaint,2
S000517,C100150,2025-07-23,Phone,Complaint,1
S000518,C100150,2026-08-02,Chat,Query,1
S000519,C100151,2026-03-06,Chat,Query,5
S000520,C100151,2026-05-28,Chat,Complaint,1
S000521,C100152,2026-03-17,Email,Query,4
S000522,C100152,2026-04-07,Chat,Complaint,4
S000523,C100152,2025-12-21,Chat,Complaint,1
S000524,C100153,2023-09-10,Email,Complaint,3
S000525,C100154,2026-02-07,Social Media,Query,2
S000526,C100156,2023-03-25,Phone,Refund Request,2
S000527,C100157,2023-12-03,Chat,Feedback,3
S000528,C100157,2024-06-18,Phone,Refund Request,1
S000529,C100157,2024-01-19,Chat,Feedback,2
S000530,C100158,2023-06-10,Phone,Feedback,2
S000531,C100158,2024-01-11,Chat,Query,1
S000532,C100159,2024-06-27,Social Media,Feedback,3
S000533,C100159,2025-11-03,Social Media,Complaint,2
S000534,C100160,2024-05-03,Email,Complaint,3
S000535,C100160,2024-07-28,Email,Complaint,4
S000536,C100160,2026-05-30,Chat,Feedback,3
S000537,C100160,2023-06-28,Chat,Complaint,4
S000538,C100161,2026-01-15,Email,Feedback,1
S000539,C100161,2026-04-29,Phone,Feedback,2
S000540,C100162,2024-11-10,Email,Complaint,2
