customer_id,signup_date,age,gender,region,acquisition_channel,acquisition_cost,tenure_days,frequency,monetary,avg_order_value,last_order_date,first_order_date,std_order_value,recency_days,orders_last_90d,orders_prior_90d,order_trend,avg_discount_pct,total_qty,n_categories,n_returns,total_refund,return_rate,n_support_tickets,avg_satisfaction,n_complaints,complaints_last_90d,complaints_prior_90d,complaint_trend,engagement_score,snapshot_date,churned
C100015,2024-04-13,44,Female,Central,Social Media,420,758,73,1188974.21,16287.31794520548,2026-03-15,2024-04-14,26950.81452087317,57.0,2.0,11.0,-0.75,0.25095833333333334,254.0,12.0,2.0,2975.75,0.0273972602739726,3.0,3.6666666666666665,2.0,0.0,1.0,-1.0,77.36863694169102,2026-05-11,0
C100016,2024-11-15,22,Female,South,Organic Search,180,542,15,266617.02,17774.468,2026-04-21,2024-12-13,32443.798892319537,20.0,3.0,4.0,-0.2,0.28319354838709676,43.0,9.0,1.0,25516.63,0.06666666666666667,0.0,3.0,0.0,0.0,0.0,0.0,50.270987084870846,2026-05-11,1
C100017,2024-02-09,26,Male,Central,Social Media,420,822,9,201432.86000000002,22381.42888888889,2026-04-11,2024-02-14,21400.84390854333,30.0,2.0,0.0,2.0,0.24404545454545454,31.0,9.0,2.0,31693.05,0.2222222222222222,1.0,3.0,1.0,0.0,0.0,0.0,46.660127737226276,2026-05-11,1
C100018,2024-02-07,66,Male,North,Paid Ads,650,824,12,156449.08000000002,13037.423333333334,2025-11-22,2024-03-04,20859.418711629063,170.0,0.0,1.0,-0.5,0.2402121212121212,46.0,11.0,2.0,2782.4900000000002,0.16666666666666666,4.0,2.75,0.0,0.0,0.0,0.0,41.779126213592235,2026-05-11,1
C100019,2023-07-22,48,Male,South,Social Media,420,1024,16,181652.29,11353.268125,2026-03-14,2023-09-20,19163.835933912684,58.0,1.0,0.0,1.0,0.31605555555555553,51.0,11.0,1.0,2127.99,0.0625,3.0,3.0,2.0,0.0,0.0,0.0,48.8411075367647,2026-05-11,1
C100021,2023-07-10,26,Other,North,Paid Ads,650,1036,2,55692.0,27846.0,2024-12-18,2023-08-25,7331.905361309568,509.0,0.0,0.0,0.0,0.1244,5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18.67905405405405,2026-05-11,1
C100022,2023-04-21,40,Female,South,Social Media,420,1116,0,0.0,0.0,,,0.0,1116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,2026-05-11,1
C100023,2026-04-18,55,Male,East,Organic Search,180,23,0,0.0,0.0,,,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,2026-05-11,0
C100024,2024-12-14,55,Female,East,Organic Search,180,513,55,1111277.23,20205.040545454543,2026-05-11,2025-01-05,25387.072691595415,0.0,15.0,9.0,0.6,0.24511290322580648,183.0,12.0,3.0,11116.990000000002,0.05454545454545454,3.0,3.3333333333333335,2.0,1.0,1.0,0.0,70.37202380952381,2026-05-11,0
C100025,2024-07-17,28,Female,West,Paid Ads,650,663,66,1483180.02,22472.424545454545,2026-04-19,2024-07-21,22113.68327824918,22.0,4.0,4.0,0.0,0.1788875,238.0,12.0,5.0,50164.64,0.07575757575757576,7.0,2.142857142857143,5.0,0.0,0.0,0.0,67.68162942559343,2026-05-11,0
C100026,2025-08-06,55,Male,Central,Organic Search,180,278,7,23305.35,3329.335714285714,2026-03-25,2025-08-12,2398.5428850370604,47.0,1.0,2.0,-0.3333333333333333,0.21581818181818183,13.0,7.0,0.0,0.0,0.0,2.0,1.5,2.0,1.0,0.0,1.0,32.145233812949634,2026-05-11,0
C100027,2024-05-07,64,Male,East,Organic Search,180,734,15,159037.41,10602.494,2026-05-02,2024-05-14,11745.362309917293,9.0,4.0,4.0,0.0,0.30336842105263156,66.0,10.0,0.0,0.0,0.0,2.0,3.5,0.0,0.0,0.0,0.0,53.6333446866485,2026-05-11,0
C100028,2023-06-14,29,Female,Central,Direct,60,1062,9,140622.6,15624.733333333334,2025-05-08,2023-08-02,10299.30265093346,368.0,0.0,0.0,0.0,0.2924,30.0,9.0,1.0,8046.71,0.1111111111111111,2.0,1.5,1.0,0.0,0.0,0.0,28.309439736346516,2026-05-11,1
C100029,2025-07-27,19,Male,North,Paid Ads,650,288,8,104504.44,13063.055,2026-05-11,2025-08-11,13261.638197999091,0.0,2.0,4.0,-0.4,0.2838235294117647,25.0,8.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,41.27777777777777,2026-05-11,1
C100030,2023-08-15,67,Female,South,Social Media,420,1000,24,235912.88,9829.703333333333,2026-03-27,2023-08-31,11510.958821404729,45.0,2.0,3.0,-0.25,0.32819298245614037,79.0,11.0,3.0,10148.16,0.125,3.0,2.0,1.0,0.0,0.0,0.0,48.525,2026-05-11,0
C100031,2024-12-12,45,Female,South,Organic Search,180,515,58,895047.2,15431.848275862068,2026-05-08,2025-01-25,20333.442814862534,3.0,13.0,10.0,0.2727272727272727,0.24568115942028987,193.0,12.0,6.0,45668.99,0.10344827586206896,13.0,1.5384615384615385,7.0,1.0,3.0,-2.0,61.67698351919595,2026-05-11,0
C100032,2026-05-05,58,Female,East,Organic Search,180,6,0,0.0,0.0,,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,2026-05-11,0
C100033,2026-04-18,34,Other,East,Referral,90,23,0,0.0,0.0,,,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,2026-05-11,0
C100034,2024-04-08,33,Female,East,Referral,90,763,100,1637883.35,16378.8335,2026-04-28,2024-04-25,25499.8971436945,13.0,10.0,13.0,-0.21428571428571427,0.2462909090909091,318.0,12.0,14.0,183108.68,0.14,39.0,1.7179487179487178,13.0,0.0,4.0,-4.0,71.70628460164293,2026-05-11,0
C100035,2025-09-30,29,Female,Central,Direct,60,223,2,8777.75,4388.875,2026-01-19,2025-10-27,3313.0003308255195,112.0,0.0,1.0,-0.5,0.20175,4.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,23.296524663677133,2026-05-11,0
C100036,2025-02-26,29,Male,South,Organic Search,180,439,46,584201.71,12700.037173913042,2026-05-11,2025-02-26,11468.522328652198,0.0,9.0,12.0,-0.23076923076923078,0.20987179487179486,179.0,12.0,2.0,14391.15,0.043478260869565216,8.0,2.875,4.0,2.0,0.0,2.0,63.648936170212764,2026-05-11,0
C100037,2024-09-08,42,Female,West,Organic Search,180,610,61,1081819.13,17734.73983606557,2026-05-01,2024-10-19,26750.742980051815,10.0,10.0,11.0,-0.08333333333333333,0.2119929577464789,221.0,12.0,6.0,91065.1,0.09836065573770492,6.0,2.8333333333333335,4.0,0.0,0.0,0.0,69.6352348845408,2026-05-11,0
C100038,2023-06-29,23,Female,East,Referral,90,1047,15,294601.73,19640.11533333333,2025-06-09,2023-07-08,30470.786414656686,336.0,0.0,0.0,0.0,0.25424242424242427,52.0,10.0,2.0,42478.1,0.13333333333333333,0.0,3.0,0.0,0.0,0.0,0.0,40.33040830945558,2026-05-11,0
C100039,2024-04-28,61,Female,East,Paid Ads,650,743,47,712928.4400000001,15168.69021276596,2026-05-07,2024-05-18,19760.129362750453,4.0,10.0,3.0,1.75,0.18556756756756757,160.0,12.0,6.0,59640.5,0.1276595744680851,5.0,3.0,1.0,0.0,0.0,0.0,65.16574136384028,2026-05-11,0
C100040,2025-04-18,44,Female,South,Organic Search,180,388,3,41479.24,13826.413333333332,2026-02-11,2025-10-02,14945.633565608161,89.0,1.0,1.0,0.0,0.282,13.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,38.28414948453608,2026-05-11,1
C100042,2023-01-07,44,Female,South,Organic Search,180,1220,142,2282063.85,16070.872183098592,2026-05-07,2023-01-23,23168.75342694354,4.0,6.0,12.0,-0.46153846153846156,0.28908454810495626,527.0,12.0,6.0,46416.42,0.04225352112676056,9.0,2.888888888888889,1.0,0.0,0.0,0.0,79.25976027615371,2026-05-11,0
C100043,2025-07-12,33,Female,West,Email Marketing,140,303,13,252899.68,19453.82153846154,2026-04-22,2025-07-14,27289.212199949958,19.0,4.0,7.0,-0.375,0.20346666666666666,41.0,12.0,3.0,92929.23,0.23076923076923078,2.0,2.5,2.0,0.0,1.0,-1.0,44.564209099481374,2026-05-11,0
C100044,2025-12-24,44,Female,East,Email Marketing,140,138,0,0.0,0.0,,,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,2026-05-11,1
C100045,2026-05-08,26,Female,North,Social Media,420,3,0,0.0,0.0,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,2026-05-11,0
C100046,2024-06-29,60,Female,West,Paid Ads,650,681,41,926137.76,22588.725853658536,2026-04-17,2024-07-21,28403.91241790204,24.0,8.0,3.0,1.25,0.19740740740740742,153.0,11.0,2.0,31304.96,0.04878048780487805,4.0,2.0,1.0,0.0,0.0,0.0,56.46592458569331,2026-05-11,0
C100047,2023-06-02,55,Female,West,Referral,90,1074,30,631512.06,21050.402000000002,2026-04-04,2023-07-27,29761.992932770456,37.0,4.0,4.0,0.0,0.1827974683544304,129.0,11.0,1.0,15220.83,0.03333333333333333,2.0,2.0,1.0,0.0,0.0,0.0,51.596646542920645,2026-05-11,0
C100048,2023-12-15,25,Male,Central,Social Media,420,878,68,1323557.54,19464.081470588237,2026-04-25,2023-12-15,25055.000186060235,16.0,9.0,9.0,0.0,0.24667664670658682,259.0,12.0,9.0,168741.94,0.1323529411764706,10.0,2.1,4.0,0.0,2.0,-2.0,69.03247664322735,2026-05-11,0
C100049,2025-12-29,48,Male,East,Referral,90,133,2,86036.17,43018.085,2026-04-10,2026-01-24,16033.49777098092,31.0,1.0,1.0,0.0,0.14,8.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,37.71710526315789,2026-05-11,1
C100050,2026-02-03,45,Female,East,Social Media,420,97,3,249088.21,83029.40333333334,2026-03-30,2026-03-11,111199.98614633112,42.0,3.0,0.0,3.0,0.2057857142857143,27.0,8.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,31.15786082474227,2026-05-11,0
C100051,2025-03-30,28,Female,East,Direct,60,407,40,625525.62,15638.1405,2026-05-10,2025-03-31,19273.54916443484,1.0,10.0,9.0,0.1,0.29691509433962265,150.0,12.0,4.0,13850.24,0.1,8.0,2.125,5.0,0.0,1.0,-1.0,56.81949271888297,2026-05-11,0
C100052,2023-06-07,24,Female,West,Paid Ads,650,1069,51,1396173.23,27375.94568627451,2026-04-10,2023-07-30,45637.84372849898,31.0,3.0,8.0,-0.5555555555555556,0.23335537190082645,194.0,12.0,8.0,345986.33999999997,0.1568627450980392,10.0,1.9,4.0,0.0,0.0,0.0,60.02830197164856,2026-05-11,0
C100053,2023-06-06,57,Male,South,Social Media,420,1070,7,188050.28,26864.325714285715,2024-04-29,2023-07-02,35114.67100882092,742.0,0.0,0.0,0.0,0.2118823529411765,24.0,9.0,0.0,0.0,0.0,2.0,2.5,2.0,0.0,1.0,-1.0,18.791471962616825,2026-05-11,1
C100054,2024-09-06,31,Male,North,Email Marketing,140,612,19,202654.49,10666.025789473684,2026-02-13,2024-09-09,10477.58531474495,87.0,1.0,0.0,1.0,0.2224468085106383,60.0,12.0,2.0,13076.77,0.10526315789473684,1.0,3.0,0.0,0.0,0.0,0.0,48.337009803921575,2026-05-11,0
C100055,2025-01-26,44,Male,Central,Email Marketing,140,470,14,266020.65,19001.475000000002,2026-04-01,2025-03-01,28704.822116087245,40.0,2.0,0.0,2.0,0.3147575757575758,51.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,48.14627659574467,2026-05-11,0
C100056,2023-02-11,30,Female,West,Direct,60,1185,6,105731.75,17621.958333333332,2024-06-29,2023-03-28,22266.08396564193,681.0,0.0,0.0,0.0,0.16908333333333334,22.0,7.0,1.0,6022.86,0.16666666666666666,1.0,3.0,0.0,0.0,0.0,0.0,27.511075949367093,2026-05-11,1
C100057,2025-06-01,51,Female,East,Paid Ads,650,344,4,10514.82,2628.705,2026-05-02,2025-06-28,2976.6706249936356,9.0,1.0,2.0,-0.3333333333333333,0.3762857142857143,8.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,45.83430232558139,2026-05-11,1
C100058,2024-12-01,20,Other,East,Referral,90,526,2,73416.26,36708.13,2025-03-23,2024-12-13,16276.650579827532,414.0,0.0,0.0,0.0,0.154125,12.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,23.327471482889734,2026-05-11,1
C100059,2023-01-16,36,Male,West,Paid Ads,650,1211,61,1023201.78,16773.799672131147,2026-05-09,2023-01-19,23172.479100760593,2.0,7.0,7.0,0.0,0.27399285714285715,210.0,12.0,10.0,210359.83,0.16393442622950818,17.0,2.176470588235294,4.0,0.0,1.0,-1.0,66.8668881826458,2026-05-11,0
C100060,2023-05-04,46,Female,North,Social Media,420,1103,13,180343.64,13872.587692307694,2025-09-17,2023-05-23,12501.546567489264,236.0,0.0,0.0,0.0,0.28774074074074074,36.0,10.0,1.0,12010.1,0.07692307692307693,3.0,2.6666666666666665,2.0,0.0,0.0,0.0,40.103594633683024,2026-05-11,0
C100061,2024-08-07,40,Female,South,Organic Search,180,642,16,398182.81,24886.425625,2026-03-26,2024-08-16,37593.37525452908,46.0,1.0,0.0,1.0,0.2513333333333333,57.0,11.0,2.0,11285.720000000001,0.125,6.0,2.0,2.0,0.0,0.0,0.0,43.31574124977094,2026-05-11,1
C100062,2025-07-18,49,Male,North,Paid Ads,650,297,7,97081.03,13868.718571428572,2026-01-18,2025-09-25,12137.985717364625,113.0,0.0,2.0,-0.6666666666666666,0.19009090909090912,35.0,10.0,0.0,0.0,0.0,2.0,2.5,1.0,0.0,1.0,-1.0,30.996001683501685,2026-05-11,0
C100063,2025-11-27,27,Other,North,Direct,60,165,6,86885.4,14480.9,2026-05-05,2025-12-05,7051.907124090617,6.0,3.0,3.0,0.0,0.24133333333333334,20.0,8.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,41.35227272727272,2026-05-11,0
C100064,2024-07-08,40,Female,North,Email Marketing,140,672,2,41646.33,20823.165,2024-10-25,2024-09-24,14389.912910926527,563.0,0.0,0.0,0.0,0.17325000000000002,10.0,8.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,11.552083333333332,2026-05-11,1
C100065,2024-01-15,57,Male,West,Paid Ads,650,847,9,75351.06,8372.34,2026-05-06,2024-03-05,6620.3068732820075,5.0,2.0,1.0,0.5,0.34029166666666666,37.0,10.0,1.0,1918.39,0.1111111111111111,3.0,2.3333333333333335,2.0,0.0,0.0,0.0,43.39755509641873,2026-05-11,0
C100067,2024-08-12,26,Female,West,Paid Ads,650,637,3,7781.379999999999,2593.793333333333,2025-12-15,2024-11-18,2336.4791643054155,147.0,0.0,1.0,-0.5,0.359,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,38.23557692307692,2026-05-11,1
C100068,2024-02-10,62,Female,Central,Organic Search,180,821,67,1270775.62,18966.800298507464,2026-04-28,2024-02-15,19741.03244020449,13.0,7.0,5.0,0.3333333333333333,0.22929090909090907,260.0,12.0,2.0,2312.5,0.029850746268656716,5.0,2.6,3.0,1.0,0.0,1.0,71.31712133696352,2026-05-11,0
C100069,2024-07-22,58,Female,North,Organic Search,180,658,21,629393.76,29971.13142857143,2026-04-13,2024-10-02,34940.61548755406,28.0,4.0,6.0,-0.2857142857142857,0.2462909090909091,85.0,12.0,2.0,17147.86,0.09523809523809523,7.0,2.0,5.0,1.0,1.0,0.0,45.42541102514507,2026-05-11,0
C100070,2023-01-16,53,Female,West,Email Marketing,140,1211,10,134695.83000000002,13469.583000000002,2024-11-19,2023-02-28,19705.05930540234,538.0,0.0,0.0,0.0,0.3023461538461538,38.0,9.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,27.916776142932214,2026-05-11,1
C100071,2024-01-24,59,Male,East,Paid Ads,650,838,5,142689.25,28537.85,2026-04-12,2025-02-19,27737.537193712782,29.0,1.0,0.0,1.0,0.25127777777777777,30.0,9.0,1.0,15057.52,0.2,1.0,3.0,0.0,0.0,0.0,0.0,45.97628281622911,2026-05-11,0
C100072,2024-10-25,58,Female,Central,Organic Search,180,563,4,96862.44,24215.61,2025-11-12,2024-11-23,25389.191842082462,180.0,0.0,0.0,0.0,0.19555555555555557,16.0,7.0,1.0,28117.49,0.25,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,26.893280047365298,2026-05-11,0
C100073,2026-03-27,56,Female,East,Referral,90,45,3,23761.72,7920.573333333334,2026-05-03,2026-04-06,4399.052463773686,8.0,3.0,0.0,3.0,0.2306,7.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,32.59027777777777,2026-05-11,0
C100074,2025-08-07,44,Male,South,Organic Search,180,277,5,74567.01999999999,14913.403999999999,2026-02-26,2025-08-10,15220.000365099533,74.0,1.0,0.0,1.0,0.2773125,24.0,9.0,1.0,3344.8,0.2,1.0,1.0,1.0,0.0,0.0,0.0,26.17065282791817,2026-05-11,0
C100075,2025-10-01,19,Female,South,Paid Ads,650,222,8,121413.83,15176.72875,2026-04-16,2025-10-29,15080.227610525963,25.0,2.0,4.0,-0.4,0.23129411764705882,26.0,9.0,2.0,6759.68,0.25,1.0,2.0,0.0,0.0,0.0,0.0,39.55855855855855,2026-05-11,1
C100076,2024-12-01,49,Male,Central,Organic Search,180,526,29,590222.92,20352.514482758623,2026-05-06,2024-12-02,29837.365775457696,5.0,5.0,4.0,0.2,0.24016216216216213,106.0,12.0,3.0,13473.97,0.10344827586206896,4.0,3.5,1.0,0.0,0.0,0.0,59.521467046894806,2026-05-11,0
C100077,2023-05-23,32,Male,North,Organic Search,180,1084,35,702086.89,20059.625428571428,2026-04-10,2023-09-26,28262.236260155198,31.0,7.0,3.0,1.0,0.2946304347826087,141.0,12.0,2.0,11966.76,0.05714285714285714,4.0,2.25,3.0,2.0,1.0,1.0,54.72824415744157,2026-05-11,0
C100078,2024-05-17,58,Male,West,Social Media,420,724,7,54106.58,7729.511428571429,2025-10-31,2024-05-19,4333.458074061364,192.0,0.0,0.0,0.0,0.2486111111111111,28.0,8.0,1.0,6422.99,0.14285714285714285,1.0,1.0,0.0,0.0,0.0,0.0,28.7807320441989,2026-05-11,1
C100080,2023-02-26,65,Male,East,Paid Ads,650,1170,139,1947309.74,14009.422589928057,2026-05-03,2023-03-09,18849.34236399721,8.0,15.0,20.0,-0.23809523809523808,0.2916382978723404,492.0,12.0,14.0,187144.19999999998,0.10071942446043165,16.0,2.4375,11.0,2.0,4.0,-2.0,76.16246947496947,2026-05-11,0
C100081,2026-02-04,48,Male,South,Email Marketing,140,96,1,6741.18,6741.18,2026-03-22,2026-03-22,0.0,50.0,1.0,0.0,1.0,0.195,7.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,27.208333333333336,2026-05-11,0
C100082,2025-05-30,46,Female,North,Email Marketing,140,346,3,105609.23999999999,35203.079999999994,2026-02-04,2025-07-22,53372.223278282116,96.0,0.0,1.0,-0.5,0.28600000000000003,13.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,36.601517341040456,2026-05-11,0
C100083,2024-01-01,65,Male,North,Email Marketing,140,861,7,78768.82,11252.688571428573,2025-08-17,2024-01-02,10557.317722825288,267.0,0.0,0.0,0.0,0.20550000000000002,28.0,9.0,2.0,34739.619999999995,0.2857142857142857,1.0,3.0,0.0,0.0,0.0,0.0,37.20884146341463,2026-05-11,1
C100084,2025-09-27,42,Female,South,Direct,60,226,4,14198.900000000001,3549.7250000000004,2026-03-01,2025-10-29,2774.248450691947,71.0,1.0,2.0,-0.3333333333333333,0.38627272727272727,16.0,6.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,31.75442477876106,2026-05-11,0
C100085,2025-12-12,37,Female,West,Direct,60,150,8,129856.66,16232.0825,2026-04-29,2026-01-30,32609.163541295635,12.0,5.0,3.0,0.5,0.22111764705882353,24.0,9.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,50.7,2026-05-11,0
C100086,2023-02-25,37,Male,West,Email Marketing,140,1171,3,82499.78,27499.926666666666,2025-12-27,2024-06-24,18417.803697445393,135.0,0.0,1.0,-0.5,0.42875,12.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,42.27748719043552,2026-05-11,1
C100087,2023-05-17,63,Male,North,Paid Ads,650,1090,17,386309.67,22724.098235294117,2024-11-26,2023-05-18,27321.984400490626,531.0,0.0,0.0,0.0,0.19542857142857145,78.0,12.0,0.0,0.0,0.0,2.0,4.5,0.0,0.0,0.0,0.0,42.88704128440367,2026-05-11,1
C100088,2025-05-06,57,Other,East,Organic Search,180,370,6,126204.35,21034.058333333334,2026-05-01,2025-07-16,28428.680971186415,10.0,2.0,1.0,0.5,0.33949999999999997,21.0,6.0,1.0,10217.43,0.16666666666666666,1.0,2.0,0.0,0.0,0.0,0.0,41.679054054054056,2026-05-11,0
C100090,2023-01-31,43,Male,West,Email Marketing,140,1196,12,143514.74,11959.561666666666,2024-05-11,2023-02-22,10971.811587267895,730.0,0.0,0.0,0.0,0.2868620689655172,45.0,11.0,1.0,8252.83,0.08333333333333333,0.0,3.0,0.0,0.0,0.0,0.0,28.887123745819398,2026-05-11,1
C100091,2025-05-06,37,Female,West,Email Marketing,140,370,0,0.0,0.0,,,0.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,2026-05-11,1
C100092,2023-06-25,51,Female,Central,Social Media,420,1051,34,346139.79,10180.58205882353,2026-04-13,2023-07-02,13068.411861782843,28.0,2.0,0.0,2.0,0.2395432098765432,108.0,11.0,0.0,0.0,0.0,4.0,2.25,1.0,0.0,0.0,0.0,54.9068404240859,2026-05-11,1
C100093,2025-04-16,20,Female,Central,Email Marketing,140,390,2,32331.870000000003,16165.935000000001,2026-01-10,2025-09-28,2447.2894986188285,121.0,0.0,1.0,-0.5,0.22122222222222224,13.0,6.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,1.0,0.0,20.01602564102564,2026-05-11,0
