return_id,order_id,customer_id,return_date,refund_amount,reason
R000062,O0000829,C100039,2024-11-10,47063.86,Defective Product
R000063,O0000838,C100039,2025-05-16,1682.94,Not as Described
R000064,O0000849,C100039,2025-10-30,3113.3,Better Price Found
R000065,O0000864,C100039,2026-05-09,3026.61,Not as Described
R000066,O0000865,C100039,2026-05-26,10211.15,Not as Described
R000067,O0000876,C100041,2026-07-29,2220.77,Changed Mind
R000068,O0000941,C100042,2024-10-18,1308.26,Defective Product
R000069,O0000960,C100042,2025-03-18,6425.61,Late Delivery
R000070,O0000964,C100042,2025-03-27,9585.85,Changed Mind
R000071,O0000967,C100042,2025-04-12,3455.34,Defective Product
R000072,O0000969,C100042,2025-04-24,20477.51,Changed Mind
R000073,O0000986,C100042,2025-06-07,5163.85,Changed Mind
R000074,O0001023,C100042,2026-06-11,3458.72,Changed Mind
R000075,O0001033,C100043,2025-10-13,7397.0,Defective Product
R000076,O0001035,C100043,2025-11-23,83623.34,Late Delivery
R000077,O0001042,C100043,2026-04-22,1908.89,Size Issue
R000078,O0001073,C100046,2025-07-28,23642.91,Changed Mind
R000079,O0001089,C100046,2026-04-10,7662.05,Changed Mind
R000080,O0001104,C100047,2024-08-19,15220.83,Better Price Found
R000081,O0001135,C100048,2024-02-23,17818.6,Not as Described
R000082,O0001139,C100048,2024-05-04,6291.52,Not as Described
R000083,O0001146,C100048,2024-06-18,3597.29,Changed Mind
R000084,O0001151,C100048,2024-08-30,67449.8,Defective Product
R000085,O0001175,C100048,2025-09-10,7697.25,Not as Described
R000086,O0001180,C100048,2025-10-31,5761.96,Changed Mind
R000087,O0001182,C100048,2025-11-22,14079.94,Defective Product
R000088,O0001188,C100048,2026-01-21,3845.72,Not as Described
R000089,O0001197,C100048,2026-04-04,42199.86,Better Price Found
R000090,O0001201,C100048,2026-07-15,1184.28,Size Issue
R000091,O0001210,C100051,2025-04-06,3112.61,Size Issue
R000092,O0001217,C100051,2025-06-23,1947.0,Defective Product
R000093,O0001219,C100051,2025-07-09,4492.96,Not as Described
R000094,O0001229,C100051,2025-11-04,4297.67,Not as Described
R000095,O0001254,C100051,2026-06-10,5436.87,Defective Product
R000096,O0001255,C100051,2026-06-10,4005.9,Better Price Found
R000097,O0001266,C100052,2023-08-11,170060.4,Better Price Found
R000098,O0001278,C100052,2024-07-03,103727.29,Defective Product
R000099,O0001290,C100052,2025-03-15,8401.8,Not as Described
R000100,O0001297,C100052,2025-06-03,5167.23,Not as Described
R000101,O0001299,C100052,2025-07-02,2099.27,Defective Product
R000102,O0001302,C100052,2025-08-02,53466.8,Changed Mind
R000103,O0001310,C100052,2026-01-12,511.7,Better Price Found
R000104,O0001315,C100052,2026-02-22,2551.85,Changed Mind
R000105,O0001318,C100052,2026-06-09,7049.52,Late Delivery
R000106,O0001321,C100052,2026-07-22,28935.21,Better Price Found
R000107,O0001335,C100054,2024-11-12,9429.7,Size Issue
R000108,O0001336,C100054,2024-11-14,3647.07,Better Price Found
R000109,O0001374,C100056,2024-07-10,6022.86,Not as Described
R000110,O0001381,C100059,2023-02-01,2924.95,Defective Product
R000111,O0001385,C100059,2023-03-19,475.06,Changed Mind
R000112,O0001393,C100059,2023-10-03,31608.84,Changed Mind
R000113,O0001394,C100059,2023-10-14,4029.19,Defective Product
R000114,O0001398,C100059,2024-01-24,6359.6,Late Delivery
R000115,O0001401,C100059,2024-05-18,4546.73,Changed Mind
R000116,O0001404,C100059,2024-06-30,56384.05,Better Price Found
R000117,O0001407,C100059,2024-08-02,79674.08,Defective Product
R000118,O0001420,C100059,2025-03-27,20706.63,Defective Product
R000119,O0001429,C100059,2025-12-04,3650.7,Size Issue
R000120,O0001453,C100060,2025-05-05,12010.1,Defective Product
R000121,O0001461,C100061,2024-10-04,5006.88,Size Issue
R000122,O0001474,C100061,2026-04-05,6278.84,Changed Mind
R000123,O0001506,C100065,2026-05-11,1918.39,Size Issue
R000124,O0001527,C100068,2024-05-20,1010.1,Size Issue
R000125,O0001535,C100068,2024-09-14,1302.4,Changed Mind
R000126,O0001582,C100068,2026-06-03,1931.16,Size Issue
R000127,O0001598,C100069,2025-08-20,15573.49,Late Delivery
R000128,O0001607,C100069,2026-04-17,1574.37,Late Delivery
R000129,O0001620,C100071,2025-02-21,15057.52,Size Issue
R000130,O0001626,C100072,2024-11-26,28117.49,Better Price Found
R000131,O0001637,C100074,2025-08-11,3344.8,Size Issue
R000132,O0001647,C100075,2026-02-01,4920.59,Defective Product
R000133,O0001648,C100075,2026-02-04,1839.09,Size Issue
R000134,O0001655,C100076,2025-03-30,268.56,Changed Mind
R000135,O0001656,C100076,2025-04-06,12831.09,Size Issue
R000136,O0001662,C100076,2025-06-05,374.32,Not as Described
R000137,O0001683,C100077,2023-10-02,6276.63,Better Price Found
R000138,O0001711,C100077,2026-02-26,5690.13,Late Delivery
R000139,O0001722,C100077,2026-07-23,18125.91,Size Issue
R000140,O0001725,C100078,2024-08-23,6422.99,Defective Product
R000141,O0001753,C100080,2023-11-30,540.36,Not as Described
R000142,O0001757,C100080,2024-02-07,224.9,Size Issue
R000143,O0001768,C100080,2024-05-07,112101.15,Defective Product
R000144,O0001771,C100080,2024-06-04,12123.29,Size Issue
R000145,O0001772,C100080,2024-06-10,714.87,Changed Mind
R000146,O0001777,C100080,2024-07-21,7232.29,Changed Mind
R000147,O0001783,C100080,2024-09-17,333.53,Changed Mind
R000148,O0001796,C100080,2025-01-21,1564.19,Not as Described
R000149,O0001797,C100080,2025-02-05,299.49,Size Issue
R000150,O0001804,C100080,2025-04-21,180.95,Late Delivery
R000151,O0001829,C100080,2025-09-19,588.34,Not as Described
R000152,O0001854,C100080,2026-02-04,43715.43,Better Price Found
R000153,O0001855,C100080,2026-02-01,5741.25,Size Issue
R000154,O0001866,C100080,2026-04-10,1784.16,Changed Mind
R000155,O0001874,C100080,2026-05-19,19335.24,Defective Product
R000156,O0001876,C100080,2026-05-26,7337.47,Late Delivery
R000157,O0001879,C100080,2026-07-05,5808.48,Late Delivery
R000158,O0001880,C100080,2026-07-12,2906.4,Defective Product
R000159,O0001893,C100083,2024-02-15,31160.28,Defective Product
R000160,O0001897,C100083,2025-04-17,3579.34,Late Delivery
R000161,O0001912,C100085,2026-06-22,1525.7,Better Price Found
R000162,O0001942,C100088,2026-05-03,10217.43,Changed Mind
R000163,O0001958,C100090,2024-05-17,8252.83,Changed Mind
R000164,O0002010,C100094,2026-06-24,519.33,Late Delivery
R000165,O0002020,C100095,2024-01-19,18587.9,Not as Described
R000166,O0002027,C100095,2025-10-17,24803.94,Better Price Found
R000167,O0002028,C100095,2026-01-08,9462.81,Changed Mind
R000168,O0002058,C100100,2024-01-29,4330.52,Better Price Found
R000169,O0002071,C100100,2024-07-10,6624.15,Defective Product
R000170,O0002082,C100100,2025-06-07,11937.76,Late Delivery
R000171,O0002085,C100100,2025-09-13,1868.94,Not as Described
R000172,O0002097,C100101,2024-06-24,2231.88,Defective Product
R000173,O0002101,C100101,2024-09-10,3306.14,Size Issue
R000174,O0002148,C100101,2026-07-31,26177.01,Better Price Found
R000175,O0002175,C100102,2025-05-08,14251.31,Changed Mind
R000176,O0002180,C100102,2025-06-16,40021.48,Not as Described
R000177,O0002212,C100102,2026-02-27,1348.89,Size Issue
R000178,O0002218,C100102,2026-04-26,10629.21,Size Issue
R000179,O0002229,C100102,2026-07-20,792.78,Changed Mind
R000180,O0002239,C100104,2026-02-07,4470.22,Size Issue
R000181,O0002260,C100104,2026-07-06,2470.22,Changed Mind
R000182,O0002262,C100104,2026-07-01,1648.56,Size Issue
R000183,O0002291,C100105,2026-05-03,230.08,Not as Described
R000184,O0002307,C100108,2023-04-29,8524.96,Defective Product
R000185,O0002308,C100108,2023-06-21,440.64,Not as Described
R000186,O0002309,C100108,2023-07-21,2970.61,Changed Mind
R000187,O0002320,C100108,2024-06-07,589.39,Defective Product
R000188,O0002329,C100108,2025-04-09,2197.46,Size Issue
R000189,O0002368,C100111,2025-06-20,4644.45,Not as Described
R000190,O0002373,C100111,2025-10-19,4705.45,Not as Described
R000191,O0002379,C100111,2026-05-26,22759.06,Size Issue
R000192,O0002381,C100111,2026-07-18,3947.82,Late Delivery
R000193,O0002383,C100111,2026-07-28,7892.08,Not as Described
R000194,O0002399,C100113,2024-02-19,3151.88,Size Issue
R000195,O0002409,C100115,2024-01-02,1270.26,Size Issue
R000196,O0002423,C100116,2023-12-23,12716.51,Better Price Found
R000197,O0002479,C100116,2025-03-02,260.31,Late Delivery
R000198,O0002505,C100116,2025-10-02,12247.59,Size Issue
R000199,O0002512,C100116,2025-12-10,9328.36,Better Price Found
R000200,O0002575,C100122,2026-07-12,10400.27,Size Issue
R000201,O0002600,C100124,2024-12-31,9677.38,Late Delivery
R000202,O0002602,C100124,2025-01-30,3792.23,Defective Product
R000203,O0002607,C100124,2025-05-12,21158.67,Defective Product
R000204,O0002638,C100124,2026-06-08,3493.96,Not as Described
R000205,O0002661,C100127,2023-05-22,23692.79,Size Issue
R000206,O0002664,C100127,2023-06-15,6829.63,Changed Mind
R000207,O0002669,C100127,2023-08-01,2107.5,Not as Described
R000208,O0002670,C100127,2023-08-31,2200.66,Late Delivery
R000209,O0002676,C100127,2023-10-03,850.71,Changed Mind
R000210,O0002704,C100127,2024-04-14,5968.55,Defective Product
R000211,O0002705,C100127,2024-04-16,2427.15,Not as Described
R000212,O0002710,C100127,2024-05-05,6012.82,Size Issue
R000213,O0002720,C100127,2024-08-03,1364.63,Changed Mind
R000214,O0002725,C100127,2024-08-19,800.27,Late Delivery
R000215,O0002738,C100127,2024-12-24,1268.78,Size Issue
R000216,O0002741,C100127,2025-01-27,82567.18,Not as Described
R000217,O0002748,C100127,2025-03-22,15678.22,Changed Mind
R000218,O0002755,C100127,2025-06-16,2921.26,Defective Product
R000219,O0002759,C100127,2025-07-01,4732.64,Changed Mind
R000220,O0002770,C100127,2025-08-26,937.47,Defective Product
R000221,O0002787,C100127,2026-02-20,573.24,Not as Described
R000222,O0002791,C100127,2026-04-02,34979.87,Better Price Found
R000223,O0002796,C100127,2026-04-24,4290.2,Size Issue
R000224,O0002798,C100127,2026-04-17,6964.53,Late Delivery
R000225,O0002819,C100133,2026-02-08,1384.85,Better Price Found
R000226,O0002840,C100137,2026-02-02,1451.35,Changed Mind
R000227,O0002860,C100139,2023-04-10,23855.68,Changed Mind
R000228,O0002884,C100141,2024-10-31,9893.83,Better Price Found
R000229,O0002902,C100142,2024-02-01,25778.51,Changed Mind
R000230,O0002910,C100142,2024-05-23,23549.18,Changed Mind
R000231,O0002916,C100142,2024-07-21,1425.81,Better Price Found
R000232,O0002920,C100142,2024-08-11,5576.72,Better Price Found
R000233,O0002923,C100142,2024-10-02,9007.37,Changed Mind
R000234,O0002925,C100142,2024-11-09,19355.83,Defective Product
R000235,O0002934,C100142,2025-02-20,4717.68,Size Issue
R000236,O0002966,C100142,2025-09-05,9841.93,Size Issue
R000237,O0003016,C100143,2023-11-04,14721.92,Size Issue
R000238,O0003018,C100143,2024-01-29,25145.42,Changed Mind
R000239,O0003056,C100148,2025-09-02,55976.63,Defective Product
R000240,O0003087,C100149,2025-10-17,24582.67,Changed Mind
R000241,O0003098,C100149,2026-02-15,1206.05,Late Delivery
R000242,O0003108,C100149,2026-04-06,2920.05,Late Delivery
R000243,O0003141,C100150,2025-02-17,337.67,Not as Described
R000244,O0003144,C100150,2025-06-12,1856.56,Not as Described
R000245,O0003154,C100151,2026-02-01,287.14,Not as Described
R000246,O0003157,C100151,2026-03-14,396.52,Late Delivery
R000247,O0003172,C100152,2025-05-23,8286.31,Size Issue
R000248,O0003199,C100155,2025-12-04,2972.48,Late Delivery
R000249,O0003211,C100156,2024-05-01,760.85,Better Price Found
R000250,O0003212,C100156,2024-09-09,1452.64,Not as Described
R000251,O0003219,C100157,2024-02-20,23156.2,Better Price Found
R000252,O0003244,C100159,2024-07-01,22653.12,Defective Product
R000253,O0003246,C100159,2024-08-17,4250.14,Defective Product
R000254,O0003290,C100160,2026-06-23,7835.31,Late Delivery
R000255,O0003312,C100162,2025-03-06,2999.39,Better Price Found
R000256,O0003321,C100162,2025-05-27,5046.95,Not as Described
R000257,O0003337,C100162,2025-08-22,3246.09,Not as Described
R000258,O0003339,C100162,2025-09-02,2248.85,Late Delivery
R000259,O0003358,C100162,2026-03-06,3551.33,Better Price Found
R000260,O0003361,C100162,2026-04-14,957.87,Size Issue
R000261,O0003370,C100162,2026-07-19,827.44,Late Delivery
R000262,O0003377,C100163,2026-07-30,5035.14,Changed Mind
R000263,O0003386,C100165,2025-07-17,109352.92,Changed Mind
R000264,O0003389,C100165,2025-09-19,1909.91,Not as Described
R000265,O0003392,C100165,2025-11-17,39055.16,Defective Product
R000266,O0003406,C100166,2025-03-27,50073.32,Late Delivery
R000267,O0003416,C100167,2023-09-17,19559.45,Late Delivery
R000268,O0003420,C100167,2025-03-11,3971.21,Size Issue
R000269,O0003428,C100168,2023-09-29,8695.2,Size Issue
R000270,O0003447,C100169,2025-10-14,2913.03,Not as Described
R000271,O0003459,C100170,2023-03-22,62588.79,Changed Mind
R000272,O0003460,C100170,2023-04-15,6746.75,Size Issue
R000273,O0003463,C100170,2023-06-25,8644.39,Changed Mind
R000274,O0003465,C100170,2023-08-29,9323.37,Defective Product
R000275,O0003471,C100170,2023-10-27,22793.74,Not as Described
R000276,O0003487,C100170,2024-04-29,403.53,Not as Described
R000277,O0003494,C100170,2024-06-26,20923.18,Late Delivery
R000278,O0003497,C100170,2024-07-11,12870.08,Changed Mind
R000279,O0003513,C100170,2024-12-08,42061.43,Late Delivery
R000280,O0003520,C100170,2025-01-19,5469.16,Better Price Found
R000281,O0003522,C100170,2025-02-03,7659.31,Changed Mind
R000282,O0003529,C100170,2025-04-10,4067.75,Changed Mind
R000283,O0003546,C100170,2025-10-08,3103.9,Changed Mind
R000284,O0003551,C100170,2025-11-07,10586.27,Late Delivery
R000285,O0003553,C100170,2025-11-22,2309.47,Defective Product
R000286,O0003556,C100170,2025-11-27,1048.11,Not as Described
R000287,O0003565,C100170,2026-02-20,5246.83,Size Issue
R000288,O0003567,C100170,2026-03-10,59855.98,Not as Described
R000289,O0003571,C100170,2026-04-13,163.09,Better Price Found
R000290,O0003572,C100170,2026-04-24,7848.38,Not as Described
R000291,O0003581,C100170,2026-06-20,372.63,Not as Described
R000292,O0003590,C100171,2023-03-20,3741.4,Changed Mind
R000293,O0003597,C100171,2024-10-22,1580.78,Late Delivery
R000294,O0003598,C100172,2023-11-04,5191.78,Late Delivery
R000295,O0003605,C100172,2025-07-26,211.16,Not as Described
R000296,O0003624,C100177,2023-10-23,3352.83,Late Delivery
R000297,O0003639,C100177,2024-11-28,2516.2,Better Price Found
R000298,O0003699,C100177,2026-07-28,87871.1,Better Price Found
R000299,O0003726,C100179,2024-03-12,13125.91,Defective Product
R000300,O0003730,C100179,2025-07-28,663.06,Changed Mind
R000301,O0003739,C100181,2024-07-08,1302.42,Better Price Found
R000302,O0003783,C100188,2024-01-31,3726.69,Better Price Found
R000303,O0003792,C100188,2024-06-24,3226.3,Changed Mind
R000304,O0003835,C100188,2025-07-01,7148.89,Better Price Found
R000305,O0003840,C100188,2025-09-19,17632.41,Defective Product
R000306,O0003854,C100188,2026-01-24,4036.99,Changed Mind
R000307,O0003869,C100188,2026-07-04,5843.44,Better Price Found
R000308,O0003883,C100191,2025-12-28,1990.01,Better Price Found
R000309,O0003884,C100191,2026-02-14,16112.13,Late Delivery
R000310,O0003918,C100192,2025-11-27,1222.44,Changed Mind
R000311,O0003984,C100193,2025-11-08,3517.05,Defective Product
R000312,O0003995,C100193,2026-04-03,1322.22,Size Issue
R000313,O0004017,C100194,2024-07-30,2303.44,Not as Described
R000314,O0004038,C100194,2025-05-31,2713.6,Changed Mind
R000315,O0004041,C100194,2025-06-10,115.66,Not as Described
R000316,O0004048,C100194,2025-09-03,4607.46,Better Price Found
R000317,O0004053,C100194,2025-10-03,11428.18,Size Issue
R000318,O0004059,C100194,2025-11-25,6338.42,Better Price Found
R000319,O0004074,C100194,2026-03-16,8739.61,Changed Mind
R000320,O0004075,C100194,2026-03-25,6561.61,Late Delivery
R000321,O0004076,C100194,2026-04-02,2746.62,Better Price Found
R000322,O0004092,C100194,2026-07-28,1194.3,Defective Product
R000323,O0004102,C100196,2025-03-22,9421.59,Changed Mind
R000324,O0004115,C100197,2024-06-03,661.93,Better Price Found
R000325,O0004138,C100199,2026-05-25,16603.77,Changed Mind
R000326,O0004158,C100200,2025-12-07,11706.33,Late Delivery
R000327,O0004164,C100200,2026-01-20,4646.88,Size Issue
R000328,O0004167,C100200,2026-04-15,8052.22,Better Price Found
R000329,O0004223,C100203,2025-06-22,28216.38,Better Price Found
R000330,O0004227,C100203,2025-08-05,4341.68,Not as Described
R000331,O0004236,C100203,2025-12-09,4744.58,Not as Described
R000332,O0004246,C100203,2026-03-31,17671.3,Changed Mind
R000333,O0004253,C100203,2026-07-23,10541.43,Changed Mind
R000334,O0004277,C100206,2024-05-05,4210.92,Changed Mind
R000335,O0004280,C100207,2024-01-17,636.94,Defective Product
R000336,O0004286,C100207,2024-06-02,479.21,Late Delivery
R000337,O0004287,C100207,2024-10-11,4848.49,Changed Mind
R000338,O0004290,C100208,2024-08-30,6896.17,Not as Described
R000339,O0004302,C100208,2025-02-21,8020.89,Changed Mind
R000340,O0004309,C100208,2025-08-11,3224.02,Defective Product
R000341,O0004341,C100212,2026-04-12,29224.97,Changed Mind
R000342,O0004353,C100214,2023-07-31,1015.32,Better Price Found
R000343,O0004368,C100217,2023-07-25,31184.76,Size Issue
R000344,O0004373,C100217,2023-12-02,4316.96,Not as Described
R000345,O0004388,C100219,2024-01-21,1884.36,Size Issue
R000346,O0004396,C100219,2024-10-01,2913.53,Size Issue
R000347,O0004413,C100220,2024-02-16,13500.53,Late Delivery
R000348,O0004415,C100220,2024-08-12,5678.76,Changed Mind
R000349,O0004421,C100221,2025-03-31,18191.4,Defective Product
R000350,O0004425,C100222,2025-04-13,4298.04,Better Price Found
R000351,O0004437,C100222,2025-08-01,22292.25,Better Price Found
R000352,O0004449,C100222,2026-01-10,14127.63,Late Delivery
R000353,O0004458,C100222,2026-06-27,45557.23,Changed Mind
R000354,O0004463,C100223,2024-08-14,2358.46,Not as Described
R000355,O0004465,C100223,2024-08-29,5404.52,Better Price Found
R000356,O0004468,C100223,2024-10-13,11599.39,Late Delivery
R000357,O0004470,C100223,2024-10-13,29346.79,Defective Product
R000358,O0004490,C100223,2025-03-17,1973.99,Late Delivery
R000359,O0004503,C100223,2025-07-13,10553.67,Not as Described
R000360,O0004504,C100223,2025-07-18,955.02,Changed Mind
R000361,O0004512,C100223,2025-09-12,9891.34,Not as Described
R000362,O0004513,C100223,2025-10-12,18872.28,Late Delivery
R000363,O0004515,C100223,2025-10-15,2421.27,Size Issue
R000364,O0004534,C100223,2026-04-14,22309.85,Better Price Found
R000365,O0004538,C100223,2026-05-22,15300.68,Better Price Found
R000366,O0004548,C100223,2026-08-07,817.6,Defective Product
R000367,O0004571,C100225,2025-07-18,29443.77,Defective Product
R000368,O0004594,C100227,2025-04-18,52424.05,Better Price Found
R000369,O0004595,C100227,2025-05-02,149.28,Late Delivery
R000370,O0004616,C100230,2023-12-28,5584.02,Better Price Found
R000371,O0004617,C100230,2024-01-04,13392.85,Size Issue
R000372,O0004694,C100230,2025-08-16,32723.45,Changed Mind
R000373,O0004700,C100230,2025-09-01,2501.86,Not as Described
R000374,O0004711,C100230,2025-10-22,19237.42,Better Price Found
R000375,O0004713,C100230,2025-11-19,127.95,Changed Mind
R000376,O0004726,C100230,2026-04-27,863.03,Late Delivery
R000377,O0004734,C100230,2026-05-25,21408.99,Not as Described
R000378,O0004757,C100232,2026-03-21,2464.28,Not as Described
R000379,O0004766,C100233,2023-11-17,1385.04,Changed Mind
R000380,O0004767,C100233,2023-11-28,6170.84,Defective Product
R000381,O0004772,C100233,2024-02-20,963.03,Size Issue
R000382,O0004775,C100233,2024-03-21,3114.08,Defective Product
R000383,O0004776,C100233,2024-03-19,1689.03,Size Issue
R000384,O0004791,C100233,2024-08-01,582.88,Changed Mind
R000385,O0004795,C100233,2024-08-25,3033.36,Changed Mind
R000386,O0004797,C100233,2024-09-23,267.68,Changed Mind
R000387,O0004802,C100233,2024-11-03,948.0,Defective Product
R000388,O0004812,C100233,2025-01-25,54867.65,Better Price Found
R000389,O0004815,C100233,2025-03-17,1111.13,Changed Mind
R000390,O0004817,C100233,2025-03-28,3641.34,Size Issue
R000391,O0004818,C100233,2025-04-11,27174.88,Not as Described
R000392,O0004835,C100233,2025-08-04,723.5,Late Delivery
R000393,O0004845,C100233,2025-11-02,4379.5,Late Delivery
R000394,O0004855,C100233,2025-12-14,7403.25,Defective Product
R000395,O0004859,C100233,2026-01-03,2137.51,Size Issue
R000396,O0004860,C100233,2026-01-15,1446.45,Defective Product
R000397,O0004867,C100233,2026-04-03,3871.07,Changed Mind
R000398,O0004870,C100233,2026-04-16,1719.61,Changed Mind
R000399,O0004871,C100233,2026-04-30,3064.25,Changed Mind
R000400,O0004880,C100233,2026-06-15,42290.85,Better Price Found
R000401,O0004887,C100233,2026-08-01,1654.03,Defective Product
R000402,O0004915,C100237,2025-04-18,1877.12,Size Issue
R000403,O0004916,C100238,2026-04-22,4093.82,Size Issue
R000404,O0004939,C100240,2024-06-23,3590.68,Not as Described
R000405,O0004940,C100240,2024-06-24,145578.23,Late Delivery
R000406,O0004941,C100240,2024-06-20,7649.94,Defective Product
R000407,O0004943,C100240,2026-02-04,29905.15,Late Delivery
R000408,O0004949,C100241,2024-11-20,8865.62,Defective Product
R000409,O0004978,C100241,2026-06-06,14534.84,Changed Mind
R000410,O0004981,C100241,2026-07-16,3781.69,Late Delivery
R000411,O0005021,C100242,2025-07-26,6622.3,Better Price Found
R000412,O0005037,C100242,2025-11-27,8573.57,Late Delivery
R000413,O0005038,C100242,2025-11-26,27641.18,Better Price Found
R000414,O0005049,C100242,2026-02-28,392.03,Defective Product
R000415,O0005052,C100242,2026-03-02,2511.6,Size Issue
R000416,O0005055,C100242,2026-03-16,5952.61,Defective Product
R000417,O0005093,C100243,2025-04-19,3694.0,Size Issue
R000418,O0005099,C100243,2025-08-05,4016.28,Better Price Found
R000419,O0005103,C100243,2025-12-07,2947.65,Not as Described
R000420,O0005108,C100243,2026-03-02,43571.54,Better Price Found
R000421,O0005112,C100243,2026-06-26,6111.96,Defective Product
R000422,O0005121,C100244,2023-10-08,9975.6,Not as Described
R000423,O0005125,C100244,2024-01-01,805.48,Size Issue
R000424,O0005145,C100244,2025-10-10,8351.42,Better Price Found
R000425,O0005147,C100244,2025-11-18,3002.0,Defective Product
R000426,O0005149,C100244,2026-07-11,6299.93,Size Issue
R000427,O0005159,C100245,2024-11-30,2851.0,Late Delivery
R000428,O0005170,C100245,2025-02-10,1510.47,Defective Product
R000429,O0005185,C100245,2025-10-07,95.04,Better Price Found
R000430,O0005229,C100246,2024-07-08,809.28,Better Price Found
R000431,O0005286,C100246,2026-04-30,5339.05,Not as Described
R000432,O0005319,C100252,2025-01-03,2629.8,Changed Mind
R000433,O0005323,C100252,2025-02-21,3008.48,Not as Described
R000434,O0005325,C100252,2025-04-04,9252.71,Better Price Found
R000435,O0005352,C100254,2026-06-13,5021.88,Changed Mind
R000436,O0005374,C100255,2026-04-29,4865.53,Not as Described
R000437,O0005383,C100257,2024-03-28,3678.7,Not as Described
R000438,O0005384,C100257,2024-05-19,4999.63,Size Issue
R000439,O0005413,C100258,2025-12-28,308.84,Size Issue
R000440,O0005416,C100259,2025-12-10,996.66,Changed Mind
R000441,O0005427,C100260,2025-03-11,13312.33,Size Issue
R000442,O0005432,C100261,2025-01-25,6957.8,Late Delivery
R000443,O0005433,C100261,2025-02-04,229.47,Changed Mind
R000444,O0005438,C100261,2025-04-02,70516.92,Changed Mind
