customer_id,gross_revenue,total_cogs,n_orders,gross_contribution,fulfillment_cost,return_cost,support_cost,acquisition_cost,estimated_profit,profit_margin_pct,profitability_quadrant,recommendation
C100024,1370224.13,1109500.84,70,260723.29,109617.93,28494.24,750.0,180,121861.12,0.09,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100025,1635036.55,1275962.08,79,359074.47,130802.92,52672.87,1350.0,650,174248.67,0.11,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100026,65933.64,53130.68,9,12802.96,5274.69,0.0,300.0,180,7228.27,0.11,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100027,201702.82,193459.05,19,8243.77,16136.23,0.0,300.0,180,-8192.46,-0.04,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100028,140622.6,136304.68,9,4317.92,11249.81,8449.05,300.0,60,-15680.93,-0.11,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100029,104504.44,112580.02,8,-8075.58,8360.36,0.0,300.0,650,-16735.94,-0.16,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100030,236163.29,235892.72,25,270.57,18893.06,10655.57,450.0,420,-29728.06,-0.13,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100031,936471.49,851370.65,64,85100.84,74917.72,47952.44,2250.0,180,-40019.32,-0.04,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100032,53276.1,45198.3,4,8077.8,4262.09,0.0,450.0,180,3365.71,0.06,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100033,7653.92,4864.41,2,2789.51,612.31,0.0,0.0,90,2177.2,0.28,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100034,1894661.94,1684695.09,117,209966.85,151572.96,218940.09,6450.0,90,-166996.19,-0.09,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100035,12906.32,11768.85,3,1137.47,1032.51,0.0,150.0,60,-45.04,-0.0,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100036,696688.34,609124.34,52,87564.0,55735.07,15110.71,1200.0,180,15518.23,0.02,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100037,1252895.81,1012936.41,73,239959.4,100231.66,95618.36,1200.0,180,42909.38,0.03,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100038,306588.61,263986.06,17,42602.55,24527.09,44602.0,150.0,90,-26676.54,-0.09,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100039,840672.85,676421.94,54,164250.91,67253.83,73344.23,750.0,650,22902.85,0.03,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100040,41479.24,35433.15,3,6046.09,3318.34,0.0,0.0,180,2727.75,0.07,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100041,38480.93,33393.08,3,5087.85,3078.47,2331.81,150.0,650,-472.43,-0.01,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100042,2442886.31,2276474.18,154,166412.13,195430.9,52368.9,1500.0,180,-82887.67,-0.03,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100043,315010.58,268918.52,17,46092.06,25200.85,97575.69,300.0,140,-76984.48,-0.24,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100045,9854.49,11452.59,2,-1598.1,788.36,0.0,0.0,420,-2386.46,-0.24,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100046,1057143.12,837212.7,48,219930.42,84571.45,32870.21,900.0,650,101588.76,0.1,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100047,661751.34,526713.39,33,135037.95,52940.11,15981.87,300.0,90,65815.97,0.1,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100048,1380160.44,1128054.83,71,252105.61,110412.84,178422.53,1650.0,420,-38379.76,-0.03,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100049,86036.17,68870.42,2,17165.75,6882.89,0.0,0.0,90,10282.86,0.12,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100050,342103.41,296469.5,5,45633.91,27368.27,0.0,300.0,420,17965.64,0.05,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100051,812325.56,799094.9,56,13230.66,64986.04,24457.66,1350.0,60,-77563.05,-0.1,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100052,1626523.67,1291774.8,57,334748.87,130121.89,401069.62,1500.0,650,-197942.65,-0.12,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100053,188050.28,150293.98,7,37756.3,15044.02,0.0,300.0,420,22412.28,0.12,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100054,230728.39,201420.63,21,29307.76,18458.27,13730.61,150.0,140,-3031.12,-0.01,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100055,311815.81,289671.72,18,22144.09,24945.26,0.0,0.0,140,-2801.17,-0.01,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100056,105731.75,97382.65,6,8349.1,8458.54,6324.0,150.0,60,-6583.44,-0.06,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100057,10514.82,11219.63,4,-704.81,841.19,0.0,0.0,650,-1546.0,-0.15,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100058,73416.26,64597.33,2,8818.93,5873.3,0.0,150.0,90,2795.63,0.04,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100059,1036278.91,964735.6,63,71543.31,82902.31,220877.82,2550.0,650,-234786.82,-0.23,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100060,189678.45,164821.89,15,24856.56,15174.28,12610.61,450.0,420,-3378.32,-0.02,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100061,398182.81,400669.24,16,-2486.43,31854.62,11850.01,900.0,180,-47091.06,-0.12,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100062,178662.95,149672.95,11,28990.0,14293.04,0.0,600.0,650,14096.96,0.08,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100063,135462.38,115525.96,10,19936.42,10836.99,0.0,150.0,60,8949.43,0.07,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100064,41646.33,33661.91,2,7984.42,3331.71,0.0,150.0,140,4502.71,0.11,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100065,93382.72,90945.63,12,2437.09,7470.62,2014.31,600.0,650,-7647.84,-0.08,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100066,47355.99,52054.36,2,-4698.37,3788.48,0.0,750.0,180,-9236.85,-0.2,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100067,7781.38,7288.54,3,492.84,622.51,0.0,0.0,650,-129.67,-0.02,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100068,1373622.83,1234130.81,73,139492.02,109889.83,4455.84,900.0,180,24246.35,0.02,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100069,667042.53,551983.67,22,115058.86,53363.4,18005.25,1050.0,180,42640.2,0.06,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100070,134695.83,123609.86,10,11085.97,10775.67,0.0,150.0,140,160.3,0.0,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100071,157736.35,141666.54,6,16069.81,12618.91,15810.4,150.0,650,-12509.49,-0.08,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100072,103274.82,84244.07,5,19030.75,8261.99,29523.36,600.0,180,-19354.6,-0.19,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100073,34279.95,27055.74,6,7224.21,2742.4,0.0,300.0,90,4181.81,0.12,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100074,97228.71,100546.1,6,-3317.39,7778.3,3512.04,150.0,180,-14757.73,-0.15,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100075,121413.83,121549.91,8,-136.08,9713.11,7097.66,450.0,650,-17396.85,-0.14,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100076,613532.08,508322.81,32,105209.27,49082.57,14147.67,600.0,180,41379.04,0.07,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100077,781604.0,669114.67,41,112489.33,62528.32,31597.3,600.0,180,17763.71,0.02,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100078,54106.58,46773.88,7,7332.7,4328.53,6744.14,150.0,420,-3889.97,-0.07,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100079,34168.29,24387.35,4,9780.94,2733.46,0.0,150.0,90,6897.48,0.2,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100080,2061823.1,1897284.34,149,164538.76,164945.85,233658.38,2400.0,650,-236465.47,-0.11,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100081,56617.01,47796.71,3,8820.3,4529.36,0.0,0.0,140,4290.94,0.08,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100082,131836.28,136273.21,5,-4436.93,10546.9,0.0,150.0,140,-15133.83,-0.11,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100083,78768.82,67985.27,7,10783.55,6301.51,36476.6,150.0,140,-32144.56,-0.41,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100084,19820.7,19454.38,5,366.32,1585.66,0.0,300.0,60,-1519.34,-0.08,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100085,164248.48,127226.8,13,37021.68,13139.88,1601.98,300.0,60,21979.82,0.13,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100086,82499.78,93823.96,3,-11324.18,6599.98,0.0,0.0,140,-17924.16,-0.22,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100087,386309.67,311883.87,17,74425.8,30904.77,0.0,300.0,650,43221.03,0.11,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100088,136312.81,139216.43,7,-2903.62,10905.02,10728.3,300.0,180,-24836.95,-0.18,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100089,49605.45,60589.27,3,-10983.82,3968.44,0.0,0.0,90,-14952.26,-0.3,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100090,143514.74,124526.16,12,18988.58,11481.18,8665.47,0.0,140,-1158.07,-0.01,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100092,346139.79,296928.69,34,49211.1,27691.18,0.0,600.0,420,20919.92,0.06,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100093,33835.67,25848.05,3,7987.62,2706.85,0.0,600.0,140,4680.77,0.14,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100094,167813.08,126138.67,18,41674.41,13425.05,545.3,450.0,90,27254.07,0.16,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100095,306010.53,290497.62,17,15512.91,24480.84,55497.38,150.0,420,-64615.31,-0.21,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100096,270357.64,236603.51,7,33754.13,21628.61,0.0,600.0,180,11525.52,0.04,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100097,109703.86,69506.28,7,40197.58,8776.31,0.0,150.0,650,31271.27,0.29,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100098,55846.33,64212.63,5,-8366.3,4467.71,0.0,0.0,180,-12834.01,-0.23,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100099,13121.23,11904.94,2,1216.29,1049.7,0.0,0.0,180,166.59,0.01,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100100,1412864.01,1132346.86,38,280517.15,113029.12,25999.44,600.0,420,140888.59,0.1,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100101,1113390.89,935065.96,60,178324.93,89071.27,33300.78,2100.0,180,53852.88,0.05,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100102,1848931.31,1452830.51,81,396100.8,147914.5,70395.85,750.0,140,177040.44,0.1,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100103,24514.1,24794.1,6,-280.0,1961.13,0.0,300.0,650,-2541.13,-0.1,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100104,638879.36,463506.14,31,175373.22,51110.35,9018.45,750.0,90,114494.42,0.18,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100105,505954.31,420216.61,32,85737.7,40476.34,241.58,750.0,180,44269.77,0.09,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100106,50528.64,41833.75,3,8694.89,4042.29,0.0,150.0,140,4502.6,0.09,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100107,27595.99,20386.45,2,7209.54,2207.68,0.0,150.0,650,4851.86,0.18,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100108,478601.1,469658.91,43,8942.19,38288.09,15459.21,300.0,420,-45105.11,-0.09,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100109,3079.19,2229.11,2,850.08,246.34,0.0,0.0,420,603.74,0.2,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100110,119396.7,105259.09,18,14137.61,9551.74,0.0,900.0,420,3685.87,0.03,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100111,323723.32,229185.26,17,94538.06,25897.87,46146.3,1200.0,420,21293.89,0.07,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100112,129488.64,115409.9,7,14078.74,10359.09,0.0,0.0,90,3719.65,0.03,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100113,101047.81,79002.19,9,22045.62,8083.82,3309.47,0.0,140,10652.32,0.11,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100114,2336.06,1787.43,1,548.63,186.88,0.0,0.0,650,361.75,0.15,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100115,255153.02,206366.06,11,48786.96,20412.24,1333.77,300.0,60,26740.95,0.1,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100116,2460678.04,2018937.01,141,441741.03,196854.24,36280.41,2100.0,650,206506.38,0.08,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100117,74117.14,62890.07,6,11227.07,5929.37,0.0,150.0,180,5147.7,0.07,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100118,58692.49,53659.22,7,5033.27,4695.4,0.0,150.0,650,187.87,0.0,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100119,40490.02,34241.43,3,6248.59,3239.2,0.0,300.0,650,2709.39,0.07,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100120,4150.29,6391.69,1,-2241.4,332.02,0.0,0.0,650,-2573.42,-0.62,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100121,31469.74,31176.05,4,293.69,2517.58,0.0,450.0,140,-2673.89,-0.08,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100122,39028.98,28929.34,2,10099.64,3122.32,10920.28,750.0,420,-4692.96,-0.12,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100123,55078.74,45606.82,6,9471.92,4406.3,0.0,450.0,60,4615.62,0.08,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100124,1192794.16,1018030.58,61,174763.58,95423.53,40028.35,1950.0,180,37361.7,0.03,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100125,280332.72,204452.24,2,75880.48,22426.62,0.0,150.0,420,53303.86,0.19,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100126,223050.15,185622.43,11,37427.72,17844.01,0.0,450.0,180,19133.71,0.09,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100127,2644591.09,2216310.02,153,428281.07,211567.29,217526.5,5400.0,650,-6212.72,-0.0,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100130,2055.53,1953.76,1,101.77,164.44,0.0,150.0,90,-212.67,-0.1,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100131,11245.03,8438.77,2,2806.26,899.6,0.0,150.0,180,1756.66,0.16,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100132,19457.51,14508.61,5,4948.9,1556.6,0.0,450.0,180,2942.3,0.15,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100133,57074.1,62609.95,3,-5535.85,4565.93,1454.09,150.0,650,-11705.87,-0.21,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100134,82137.5,63418.79,5,18718.71,6571.0,0.0,150.0,180,11997.71,0.15,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100135,311263.58,248506.74,13,62756.84,24901.09,0.0,450.0,420,37405.75,0.12,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100136,10489.05,9212.3,1,1276.75,839.12,0.0,150.0,420,287.63,0.03,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100137,149002.08,161164.58,10,-12162.5,11920.17,1523.92,300.0,140,-25906.58,-0.17,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100138,83268.8,68287.49,7,14981.31,6661.5,0.0,300.0,60,8019.81,0.1,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100139,417093.98,379358.91,18,37735.07,33367.52,25048.46,300.0,650,-20980.91,-0.05,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100140,109502.62,95057.05,8,14445.57,8760.21,0.0,900.0,140,4785.36,0.04,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100141,91325.65,88649.34,7,2676.31,7306.05,10388.52,150.0,90,-15168.26,-0.17,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100142,2068051.94,1604027.23,120,464024.71,165444.16,104215.68,1950.0,180,192414.87,0.09,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100143,261000.91,203333.32,17,57667.59,20880.07,41860.71,1200.0,140,-6273.19,-0.02,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100144,62364.43,54146.94,2,8217.49,4989.15,0.0,300.0,650,2928.34,0.05,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100145,173280.82,175987.6,10,-2706.78,13862.47,0.0,450.0,90,-17019.25,-0.1,Low Revenue / Low Profit,"De-prioritize: automate engagement, avoid further acquisition-cost investment."
C100146,199277.26,183460.65,12,15816.61,15942.18,0.0,150.0,90,-275.57,-0.0,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100147,49523.66,37518.59,3,12005.07,3961.89,0.0,0.0,140,8043.18,0.16,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100148,360940.79,309199.7,17,51741.09,28875.26,58775.46,150.0,90,-36059.63,-0.1,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100149,1293030.6,1195231.75,58,97798.85,103442.45,30144.21,600.0,140,-36387.81,-0.03,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100150,434053.65,417877.16,24,16176.49,34724.29,2303.94,300.0,650,-21151.74,-0.05,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100151,118237.13,95118.82,9,23118.31,9458.97,717.84,300.0,60,12641.5,0.11,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100152,510572.72,439180.71,25,71392.01,40845.82,8700.63,450.0,420,21395.57,0.04,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100153,36872.79,28865.47,5,8007.32,2949.82,0.0,150.0,90,4907.5,0.13,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100154,39902.66,35143.6,5,4759.06,3192.21,0.0,150.0,140,1416.85,0.04,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100155,206117.1,155755.98,12,50361.12,16489.37,3121.1,0.0,180,30750.65,0.15,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100156,56162.3,48510.06,4,7652.24,4492.98,2324.16,150.0,650,685.09,0.01,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100157,266137.31,260875.4,20,5261.91,21290.98,24314.01,450.0,140,-40793.08,-0.15,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100158,167583.6,123052.16,6,44531.44,13406.69,0.0,300.0,60,30824.75,0.18,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100159,227585.32,212164.31,12,15421.01,18206.83,28248.42,300.0,90,-31334.24,-0.14,High Revenue / Low Profit,"Investigate: reduce discount dependency, high return/support costs eroding margin."
C100160,615447.4,519313.82,43,96133.58,49235.79,8227.08,600.0,650,38070.71,0.06,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100161,8051.16,6260.22,1,1790.94,644.09,0.0,300.0,180,846.85,0.11,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
C100162,1217078.31,1026496.53,81,190581.78,97366.26,19821.82,1800.0,420,71593.7,0.06,High Revenue / High Profit,"Protect and grow: prioritize retention, loyalty rewards, premium service."
C100163,92400.54,78909.68,3,13490.86,7392.04,5286.9,150.0,650,661.92,0.01,Low Revenue / High Profit,"Grow share of wallet: efficient customer, invest in upsell / cross-sell."
