customer_id,region,acquisition_channel,churn_probability,risk_category,expected_clv_12m,clv_category,segment_name,revenue_at_risk
C100049,East,Referral,0.53353095,Medium,27761.61,Medium,Mid-Value Occasional Shoppers,14811.6781568295
C100050,East,Social Media,0.16110055,Low,131217.3,High,Mid-Value Occasional Shoppers,21139.179199515
C100051,East,Direct,0.00120171,Low,594259.58,Very High,Mid-Value Occasional Shoppers,714.1276798818
C100052,West,Paid Ads,0.037448544,Low,471609.79,Very High,High-Value Loyalists,17661.09997164576
C100053,South,Social Media,0.95899695,High,424.15,Low,Low-Engagement / Dormant,406.7585563425
C100054,North,Email Marketing,0.35559994,Medium,31744.33,Medium,Mid-Value Occasional Shoppers,11288.2818433402
C100055,Central,Email Marketing,0.31030414,Medium,60000.1,High,Mid-Value Occasional Shoppers,18618.279430414
C100056,West,Direct,0.98348975,High,390.09,Low,Low-Engagement / Dormant,383.6495165775
C100057,East,Paid Ads,0.6794958,High,30793.23,Medium,Mid-Value Occasional Shoppers,20923.870453434
C100058,East,Referral,0.87853765,High,5505.37,Low,Low-Engagement / Dormant,4836.674822180499
C100059,West,Paid Ads,0.005989853,Low,427645.21,Very High,High-Value Loyalists,2561.5319440541302
C100060,North,Social Media,0.7510771,High,4855.56,Low,Mid-Value Occasional Shoppers,3646.899923676001
C100061,South,Organic Search,0.71067333,High,15295.13,Medium,Mid-Value Occasional Shoppers,10869.8409698829
C100062,North,Paid Ads,0.28514203,Low,77583.35,High,Mid-Value Occasional Shoppers,22122.2739132005
C100063,North,Direct,0.14942785,Low,177399.59,High,Mid-Value Occasional Shoppers,26508.4393245815
C100064,North,Email Marketing,0.9659007,High,388.53,Low,Low-Engagement / Dormant,375.28139897099993
C100065,West,Paid Ads,0.34451085,Medium,36882.74,Medium,Mid-Value Occasional Shoppers,12706.504107729
C100067,West,Paid Ads,0.9298413,High,7206.5,Low,Mid-Value Occasional Shoppers,6700.90132845
C100068,Central,Organic Search,0.0015697544,Low,582784.03,Very High,High-Value Loyalists,914.827795342232
C100069,North,Organic Search,0.025765622,Low,191236.97,High,Mid-Value Occasional Shoppers,4927.33948144534
C100070,West,Email Marketing,0.9746771,High,668.4,Low,Low-Engagement / Dormant,651.47417364
C100071,East,Paid Ads,0.8017348,High,10551.78,Medium,Mid-Value Occasional Shoppers,8459.729227944
C100072,Central,Organic Search,0.78052557,High,7126.92,Low,Mid-Value Occasional Shoppers,5562.7432953444
C100073,East,Referral,0.07373606,Low,197088.18,High,Mid-Value Occasional Shoppers,14532.5058657708
C100074,South,Organic Search,0.4147445,Medium,36378.09,Medium,Mid-Value Occasional Shoppers,15087.612748005
C100075,South,Paid Ads,0.48185533,Medium,66863.17,High,Mid-Value Occasional Shoppers,32218.3748451961
C100076,Central,Organic Search,0.008435331,Low,314255.46,Very High,Mid-Value Occasional Shoppers,2650.8488236572603
C100077,North,Organic Search,0.011531437,Low,328295.15,Very High,Mid-Value Occasional Shoppers,3785.71483963055
C100078,West,Social Media,0.8796166,High,6076.8,Low,Mid-Value Occasional Shoppers,5345.25415488
C100080,East,Paid Ads,0.002336785,Low,619527.72,Very High,High-Value Loyalists,1447.7030831802
C100081,South,Email Marketing,0.29512867,Low,44620.11,Medium,Mid-Value Occasional Shoppers,13168.6737195537
C100082,North,Email Marketing,0.7679092,High,18576.11,Medium,Mid-Value Occasional Shoppers,14264.765769212
C100083,North,Email Marketing,0.9191323,High,3426.7,Low,Mid-Value Occasional Shoppers,3149.59065241
C100084,South,Direct,0.31860512,Medium,40731.44,Medium,Mid-Value Occasional Shoppers,12977.245328972802
C100085,West,Direct,0.03740849,Low,286901.19,Very High,Mid-Value Occasional Shoppers,10732.540297103102
C100086,West,Email Marketing,0.94469595,High,5389.03,Low,Mid-Value Occasional Shoppers,5090.994815428499
C100087,North,Paid Ads,0.85258037,High,2723.43,Low,Low-Engagement / Dormant,2321.9429570691
C100088,East,Organic Search,0.20859401,Low,54973.62,High,Mid-Value Occasional Shoppers,11467.1678400162
C100090,West,Email Marketing,0.9727974,High,712.85,Low,Low-Engagement / Dormant,693.45862659
C100091,West,Email Marketing,0.9260932,High,1109.05,Low,Low-Engagement / Dormant,1027.0836634599998
C100092,Central,Social Media,0.5443881,Medium,49945.53,High,Mid-Value Occasional Shoppers,27189.752180193
C100093,Central,Email Marketing,0.67374825,High,18850.04,Medium,Mid-Value Occasional Shoppers,12700.181462430002
C100094,South,Referral,0.29143676,Low,93836.68,High,Mid-Value Occasional Shoppers,27347.4579883568
C100095,South,Social Media,0.6152822,High,37048.77,Medium,Mid-Value Occasional Shoppers,22795.448712894
C100096,Central,Organic Search,0.49737823,Medium,34947.83,Medium,Mid-Value Occasional Shoppers,17382.2898277409
C100097,North,Paid Ads,0.100459784,Low,111252.43,High,Mid-Value Occasional Shoppers,11176.39508727512
C100098,North,Organic Search,0.13338102,Low,172009.98,High,Mid-Value Occasional Shoppers,22942.8665825796
C100099,South,Organic Search,0.9894643,High,326.68,Low,Low-Engagement / Dormant,323.238197524
C100100,West,Social Media,0.6509776,High,39312.59,Medium,High-Value Loyalists,25591.615487984
C100101,West,Organic Search,0.0023187967,Low,520469.38,Very High,High-Value Loyalists,1206.862680795046
C100102,Central,Email Marketing,0.00065773795,Low,844138.14,Very High,High-Value Loyalists,555.221689720413
C100103,South,Paid Ads,0.6093892,High,1230.55,Low,Low-Engagement / Dormant,749.8838800599999
C100104,South,Referral,0.003291654,Low,581120.02,Very High,Mid-Value Occasional Shoppers,1912.8460383130805
C100105,South,Organic Search,0.0008398143,Low,659222.19,Very High,Mid-Value Occasional Shoppers,553.6242220393169
C100106,West,Email Marketing,0.29650792,Low,81193.48,High,Mid-Value Occasional Shoppers,24074.5098723616
C100107,North,Paid Ads,0.9585096,High,2938.89,Low,Low-Engagement / Dormant,2816.954278344
C100108,Central,Social Media,0.095779575,Low,263780.27,Very High,Mid-Value Occasional Shoppers,25264.76215398525
C100109,East,Social Media,0.4687299,Medium,34906.91,Medium,Low-Engagement / Dormant,16361.912433609
C100110,West,Social Media,0.4095005,Medium,42752.95,Medium,Mid-Value Occasional Shoppers,17507.354401474997
C100111,West,Social Media,0.19566174,Low,67119.19,High,Mid-Value Occasional Shoppers,13132.6575027906
C100112,East,Referral,0.045905218,Low,311623.84,Very High,Mid-Value Occasional Shoppers,14305.16030919712
C100113,West,Email Marketing,0.97084266,High,842.14,Low,Low-Engagement / Dormant,817.5854376924
C100114,South,Paid Ads,0.97867763,High,367.83,Low,Low-Engagement / Dormant,359.9869926429
C100115,West,Direct,0.950479,High,5473.57,Low,Low-Engagement / Dormant,5202.513340029999
C100116,West,Paid Ads,0.0007268584,Low,738976.71,Very High,High-Value Loyalists,537.1314290678639
C100117,East,Organic Search,0.9689668,High,361.76,Low,Low-Engagement / Dormant,350.533429568
C100118,North,Paid Ads,0.24106115,Low,64698.97,High,Mid-Value Occasional Shoppers,15596.4081120155
C100119,Central,Paid Ads,0.8054473,High,12774.28,Medium,Mid-Value Occasional Shoppers,10289.009335444
C100121,East,Email Marketing,0.56260407,Medium,23550.49,Medium,Mid-Value Occasional Shoppers,13249.6015244943
C100123,East,Direct,0.9640599,High,517.37,Low,Low-Engagement / Dormant,498.775670463
C100124,South,Organic Search,0.008822323,Low,403175.87,Very High,High-Value Loyalists,3556.94775094601
C100125,East,Social Media,0.76024127,High,52433.95,High,Mid-Value Occasional Shoppers,39862.452739116496
C100126,North,Organic Search,0.92651135,High,1159.46,Low,Low-Engagement / Dormant,1074.252849871
C100127,East,Paid Ads,0.0010627274,Low,575778.56,Very High,High-Value Loyalists,611.895652044544
C100128,West,Paid Ads,0.9254773,High,2614.96,Low,Low-Engagement / Dormant,2420.086120408
C100129,North,Referral,0.69867736,High,20776.17,Medium,Low-Engagement / Dormant,14515.8396065112
C100131,West,Organic Search,0.14454117,Low,87947.23,High,Low-Engagement / Dormant,12711.9955224591
C100132,West,Organic Search,0.91089964,High,982.89,Low,Low-Engagement / Dormant,895.3141471596
C100133,Central,Paid Ads,0.58196443,Medium,22317.32,Medium,Mid-Value Occasional Shoppers,12987.8864129276
C100134,South,Organic Search,0.33878824,Medium,54422.32,High,Mid-Value Occasional Shoppers,18437.6420095168
C100135,West,Social Media,0.060569692,Low,127694.79,High,Mid-Value Occasional Shoppers,7734.43410030468
C100136,North,Social Media,0.75363845,High,18161.31,Medium,Low-Engagement / Dormant,13687.0615183695
C100137,North,Email Marketing,0.09711855,Low,147280.4,High,Mid-Value Occasional Shoppers,14303.658891419998
C100138,West,Direct,0.7772715,High,11060.35,Medium,Mid-Value Occasional Shoppers,8596.894835025001
C100139,South,Paid Ads,0.93197954,High,728.65,Low,Low-Engagement / Dormant,679.086891821
C100140,West,Email Marketing,0.27594215,Low,64289.02,High,Mid-Value Occasional Shoppers,17740.050400193
C100141,South,Referral,0.85381484,High,10951.6,Medium,Mid-Value Occasional Shoppers,9350.638601744
C100142,North,Organic Search,0.0005442584,Low,833859.4,Very High,High-Value Loyalists,453.83498286896
C100143,East,Email Marketing,0.82630575,High,6459.63,Low,Mid-Value Occasional Shoppers,5337.6294118725
C100144,North,Paid Ads,0.90144765,High,4766.54,Low,Mid-Value Occasional Shoppers,4296.786281631
C100145,South,Referral,0.32127824,Medium,29101.47,Medium,Mid-Value Occasional Shoppers,9349.6690630128
C100146,North,Referral,0.080593206,Low,117756.04,High,Mid-Value Occasional Shoppers,9490.33678946424
C100147,South,Email Marketing,0.6551268,High,34533.53,Medium,Mid-Value Occasional Shoppers,22623.841001604
C100148,West,Referral,0.05077082,Low,181465.05,High,Mid-Value Occasional Shoppers,9213.129389841
C100149,North,Email Marketing,0.00055223174,Low,631199.93,Very High,High-Value Loyalists,348.56863563177825
C100150,East,Paid Ads,0.6285857,High,16982.69,Medium,Mid-Value Occasional Shoppers,10675.076081533
C100151,East,Direct,0.06442021,Low,150178.32,High,Mid-Value Occasional Shoppers,9674.5189118472
C100152,East,Social Media,0.12776324,Low,167042.38,High,Mid-Value Occasional Shoppers,21341.8756861112
C100153,East,Referral,0.97668594,High,332.13,Low,Low-Engagement / Dormant,324.3867012522
C100154,West,Email Marketing,0.4331975,Medium,33260.08,Medium,Low-Engagement / Dormant,14408.183505800002
C100155,Central,Organic Search,0.013570126,Low,189870.19,High,Mid-Value Occasional Shoppers,2576.56240194394
C100156,North,Paid Ads,0.9444784,High,345.15,Low,Low-Engagement / Dormant,325.98671976
C100157,West,Email Marketing,0.88893366,High,2591.89,Low,Low-Engagement / Dormant,2304.0182640174
C100158,North,Direct,0.9831286,High,689.33,Low,Low-Engagement / Dormant,677.7000378380001
C100159,East,Referral,0.76667815,High,22541.18,Medium,Mid-Value Occasional Shoppers,17281.830181217
C100160,East,Paid Ads,0.0015811981,Low,437075.38,Very High,High-Value Loyalists,691.102760412778
C100161,North,Organic Search,0.74562204,High,18200.73,Medium,Mid-Value Occasional Shoppers,13570.8654320892
C100162,North,Social Media,0.00054750015,Low,609039.23,Very High,High-Value Loyalists,333.4490697808845
C100164,North,Email Marketing,0.7872216,High,5144.66,Low,Low-Engagement / Dormant,4049.987476656
C100165,East,Social Media,0.058350384,Low,369139.97,Very High,Mid-Value Occasional Shoppers,21539.45899924848
C100166,North,Paid Ads,0.8704148,High,8375.8,Low,Mid-Value Occasional Shoppers,7290.42028184
C100167,West,Paid Ads,0.9123964,High,816.71,Low,Low-Engagement / Dormant,745.1632638440001
C100168,Central,Direct,0.88544524,High,5130.33,Low,Mid-Value Occasional Shoppers,4542.6262781292
C100169,South,Social Media,0.3278131,Medium,65219.46,High,Mid-Value Occasional Shoppers,21379.793362926
C100170,North,Organic Search,0.0020930874,Low,830820.69,Very High,High-Value Loyalists,1738.980317898306
C100171,South,Social Media,0.9486656,High,956.17,Low,Low-Engagement / Dormant,907.085586752
C100172,Central,Paid Ads,0.7273274,High,20204.9,Medium,Mid-Value Occasional Shoppers,14695.57738426
C100173,South,Paid Ads,0.06840384,Low,131527.19,High,Mid-Value Occasional Shoppers,8996.9648604096
C100174,North,Referral,0.8412891,High,6865.0,Low,Mid-Value Occasional Shoppers,5775.4496715000005
C100175,Central,Organic Search,0.7478242,High,16141.08,Medium,Mid-Value Occasional Shoppers,12070.690238136
C100176,East,Paid Ads,0.86971396,High,5691.4,Low,Mid-Value Occasional Shoppers,4949.890031944
C100177,South,Paid Ads,0.004972986,Low,360038.76,Very High,High-Value Loyalists,1790.46771293736
C100178,Central,Paid Ads,0.7846183,High,8736.24,Low,Mid-Value Occasional Shoppers,6854.613777191999
C100179,Central,Social Media,0.64627975,High,16401.7,Medium,Mid-Value Occasional Shoppers,10600.086575575002
C100180,East,Referral,0.89394164,High,9437.67,Medium,Mid-Value Occasional Shoppers,8436.7261975788
C100181,South,Organic Search,0.9586505,High,365.53,Low,Low-Engagement / Dormant,350.41551726499995
C100182,East,Paid Ads,0.5396039,Medium,13574.48,Medium,Mid-Value Occasional Shoppers,7324.842348472
C100184,East,Email Marketing,0.69632775,High,7030.45,Low,Mid-Value Occasional Shoppers,4895.4974299875
C100185,North,Organic Search,0.9042119,High,3551.67,Low,Mid-Value Occasional Shoppers,3211.462278873
C100186,East,Organic Search,0.7681158,High,12560.39,Medium,Mid-Value Occasional Shoppers,9647.834013162
C100187,West,Direct,0.13547727,Low,215213.44,High,Mid-Value Occasional Shoppers,29156.5293185088
C100188,Central,Organic Search,0.00069194334,Low,806839.78,Very High,High-Value Loyalists,558.2874122180652
C100189,West,Direct,0.9562446,High,1148.74,Low,Low-Engagement / Dormant,1098.476421804
C100190,North,Email Marketing,0.5881282,Medium,25543.13,Medium,Low-Engagement / Dormant,15022.635069266
C100191,North,Organic Search,0.39568615,Medium,45058.91,Medium,Mid-Value Occasional Shoppers,17829.1866210965
C100192,East,Organic Search,0.0007307199,Low,1043948.07,Very High,High-Value Loyalists,762.8336293155929
C100193,South,Direct,0.0040617133,Low,470211.86,Very High,High-Value Loyalists,1909.865765579738
C100194,North,Organic Search,0.0009413559,Low,756137.73,Very High,High-Value Loyalists,711.794713348107
C100195,West,Social Media,0.40995055,Medium,62975.35,High,Low-Engagement / Dormant,25816.7793689425
C100196,South,Organic Search,0.58090156,Medium,34807.71,Medium,Mid-Value Occasional Shoppers,20219.8530390276
C100197,North,Social Media,0.95587313,High,863.68,Low,Low-Engagement / Dormant,825.5685049183999
C100198,East,Email Marketing,0.4443657,Medium,43817.12,Medium,Mid-Value Occasional Shoppers,19470.825200784
C100199,Central,Social Media,0.4854295,Medium,35587.69,Medium,Mid-Value Occasional Shoppers,17275.314562855
C100200,West,Organic Search,0.0018354686,Low,339063.28,Very High,Mid-Value Occasional Shoppers,622.340003853008
C100201,North,Social Media,0.02297684,Low,266099.11,Very High,Mid-Value Occasional Shoppers,6114.116674612399
C100202,East,Social Media,0.10710369,Low,142009.26,High,High-Value Loyalists,15209.715760169402
C100203,Central,Organic Search,0.0023118025,Low,389877.27,Very High,Mid-Value Occasional Shoppers,901.3192474791751
C100204,North,Referral,0.9226995,High,5595.42,Low,Mid-Value Occasional Shoppers,5162.89123629
C100205,East,Social Media,0.09808985,Low,162565.03,High,Mid-Value Occasional Shoppers,15945.9794079455
C100206,West,Organic Search,0.91673976,High,3024.11,Low,Low-Engagement / Dormant,2772.3218756136
C100207,West,Direct,0.8513974,High,7314.32,Low,Mid-Value Occasional Shoppers,6227.393030767999
C100208,North,Paid Ads,0.0015022433,Low,467206.42,Very High,Mid-Value Occasional Shoppers,701.857714161986
C100209,Central,Organic Search,0.95681584,High,1765.25,Low,Low-Engagement / Dormant,1689.01916156
C100210,South,Organic Search,0.8905844,High,13328.84,Medium,Low-Engagement / Dormant,11870.456974096
C100211,North,Paid Ads,0.8405653,High,4196.25,Low,Mid-Value Occasional Shoppers,3527.222140125
C100212,North,Paid Ads,0.035654712,Low,245799.98,Very High,Mid-Value Occasional Shoppers,8763.92749650576
C100213,South,Paid Ads,0.8287175,High,17898.77,Medium,Mid-Value Occasional Shoppers,14833.023927475
C100214,North,Referral,0.88439214,High,7393.2,Low,Low-Engagement / Dormant,6538.487969448
C100215,West,Social Media,0.8533098,High,3161.42,Low,Mid-Value Occasional Shoppers,2697.670667916
C100217,North,Referral,0.53789425,Medium,49927.3,High,Mid-Value Occasional Shoppers,26855.607588025003
C100218,West,Referral,0.25632858,Low,65552.24,High,Low-Engagement / Dormant,16802.9125950192
C100219,Central,Social Media,0.8562771,High,1077.58,Low,Low-Engagement / Dormant,922.707077418
C100220,North,Direct,0.9288342,High,1393.04,Low,Low-Engagement / Dormant,1293.903193968
C100221,West,Paid Ads,0.89654696,High,5268.6,Low,Mid-Value Occasional Shoppers,4723.547313456001
C100222,Central,Organic Search,0.0061959107,Low,484632.25,Very High,Mid-Value Occasional Shoppers,3002.7381433400747
C100223,West,Organic Search,0.0007120024,Low,621803.3,Very High,High-Value Loyalists,442.72544192792
C100224,East,Paid Ads,0.21719413,Low,185768.53,High,Mid-Value Occasional Shoppers,40347.8342547289
C100225,Central,Paid Ads,0.027979853,Low,209662.45,High,Mid-Value Occasional Shoppers,5866.3245306198505
C100226,West,Organic Search,0.9770222,High,314.39,Low,Low-Engagement / Dormant,307.166009458
C100227,South,Social Media,0.36503476,Medium,16315.58,Medium,Low-Engagement / Dormant,5955.7538295608
C100229,East,Referral,0.9278188,High,6565.28,Low,Mid-Value Occasional Shoppers,6091.390211264
C100230,South,Social Media,0.0005264547,Low,898112.11,Very High,High-Value Loyalists,472.815341436417
C100231,South,Social Media,0.5094897,Medium,19363.96,Medium,Mid-Value Occasional Shoppers,9865.738171212
C100232,North,Referral,0.1781694,Low,127276.57,High,Mid-Value Occasional Shoppers,22676.790110958
C100233,West,Paid Ads,0.0023982911,Low,689129.94,Very High,High-Value Loyalists,1652.7342018455338
C100234,West,Paid Ads,0.34180257,Medium,61639.45,High,Low-Engagement / Dormant,21068.522423386497
C100235,South,Paid Ads,0.96018785,High,3868.72,Low,Low-Engagement / Dormant,3714.697939052
C100236,North,Organic Search,0.48569885,Medium,44062.51,Medium,Mid-Value Occasional Shoppers,21401.1104351135
C100237,North,Social Media,0.8122133,High,1004.75,Low,Low-Engagement / Dormant,816.071313175
C100238,North,Paid Ads,0.04100185,Low,228226.79,Very High,Mid-Value Occasional Shoppers,9357.7206095615
C100239,East,Organic Search,0.789932,High,12323.67,Medium,Mid-Value Occasional Shoppers,9734.86129044
C100240,North,Organic Search,0.90996504,High,15600.39,Medium,Mid-Value Occasional Shoppers,14195.8095103656
C100241,Central,Referral,0.0031614767,Low,432772.79,Very High,Mid-Value Occasional Shoppers,1368.201091978993
C100242,South,Organic Search,0.00059784856,Low,609171.16,Very High,High-Value Loyalists,364.19210079952967
C100243,North,Paid Ads,0.016839387,Low,237046.25,Very High,Mid-Value Occasional Shoppers,3991.71354064875
C100244,Central,Organic Search,0.53612024,Medium,33384.04,Medium,Mid-Value Occasional Shoppers,17897.8595369696
C100245,South,Organic Search,0.0010778548,Low,592380.52,Very High,High-Value Loyalists,638.5001869084961
C100246,South,Referral,0.0031298436,Low,764034.87,Very High,High-Value Loyalists,2391.309648046332
C100247,North,Organic Search,0.14996523,Low,22383.3,Medium,Low-Engagement / Dormant,3356.716732659
C100248,West,Paid Ads,0.9746166,High,562.79,Low,Low-Engagement / Dormant,548.504476314
C100249,South,Direct,0.7841307,High,13883.65,Medium,Mid-Value Occasional Shoppers,10886.596193054998
C100250,West,Paid Ads,0.42412773,Medium,28429.88,Medium,Mid-Value Occasional Shoppers,12057.9004685724
C100251,East,Social Media,0.32208726,Medium,48840.69,High,Mid-Value Occasional Shoppers,15730.9640186094
C100252,Central,Social Media,0.70337826,High,18515.17,Medium,Mid-Value Occasional Shoppers,13023.1680582042
C100253,East,Organic Search,0.5584079,Medium,31098.39,Medium,Mid-Value Occasional Shoppers,17365.586653281
C100254,West,Paid Ads,0.09917712,Low,110277.93,High,Mid-Value Occasional Shoppers,10937.0474969616
C100255,West,Paid Ads,0.03550509,Low,186483.1,High,Mid-Value Occasional Shoppers,6621.099248979001
C100256,East,Organic Search,0.5231007,Medium,12985.66,Medium,Mid-Value Occasional Shoppers,6792.807835961999
C100257,West,Organic Search,0.92325836,High,721.2,Low,Low-Engagement / Dormant,665.853929232
C100258,West,Social Media,0.32470858,Medium,55681.0,High,Mid-Value Occasional Shoppers,18080.09844298
C100259,North,Organic Search,0.21746877,Low,94583.18,High,Mid-Value Occasional Shoppers,20568.8878172886
C100260,West,Organic Search,0.9221616,High,1693.31,Low,Low-Engagement / Dormant,1561.505458896
C100261,South,Social Media,0.00052390876,Low,766878.58,Very High,High-Value Loyalists,401.7744059183608
C100262,East,Paid Ads,0.99147123,High,1324.74,Low,Low-Engagement / Dormant,1313.4415972302002
C100263,North,Social Media,0.016738283,Low,486535.44,Very High,Mid-Value Occasional Shoppers,8143.76788424952
C100264,North,Organic Search,0.3148497,Medium,64383.96,High,Mid-Value Occasional Shoppers,20271.270490812
C100265,North,Referral,0.87767696,High,2541.05,Low,Low-Engagement / Dormant,2230.221039208
C100266,North,Email Marketing,0.0053989594,Low,400000.5,Very High,Mid-Value Occasional Shoppers,2159.5864594797
C100267,North,Social Media,0.6996404,High,7496.74,Low,Mid-Value Occasional Shoppers,5245.0221722960005
C100269,East,Paid Ads,0.0012374182,Low,519548.37,Very High,High-Value Loyalists,642.898608818334
C100270,South,Organic Search,0.35048854,Medium,36474.04,Medium,Mid-Value Occasional Shoppers,12783.7330275016
C100271,Central,Paid Ads,0.27075946,Low,48901.27,High,Mid-Value Occasional Shoppers,13240.4814585142
C100272,West,Paid Ads,0.0028626567,Low,313009.1,Very High,Mid-Value Occasional Shoppers,896.0375972759699
C100273,North,Email Marketing,0.22470737,Low,85174.16,High,Mid-Value Occasional Shoppers,19139.2614855592
C100274,South,Paid Ads,0.001052734,Low,595902.98,Very High,High-Value Loyalists,627.32732774732
C100275,South,Paid Ads,0.051375978,Low,170348.65,High,Mid-Value Occasional Shoppers,8751.8284947297
C100276,South,Email Marketing,0.09042896,Low,217204.92,High,Mid-Value Occasional Shoppers,19641.6150224832
C100277,East,Organic Search,0.8833782,High,4662.72,Low,Mid-Value Occasional Shoppers,4118.945200704
C100278,West,Social Media,0.30670133,Medium,53540.61,High,Mid-Value Occasional Shoppers,16420.9762960113
C100279,East,Paid Ads,0.0021703236,Low,670220.34,Very High,High-Value Loyalists,1454.5950211020238
C100280,South,Direct,0.4997975,Medium,37223.33,Medium,Mid-Value Occasional Shoppers,18604.127275675
C100281,West,Organic Search,0.32301572,Medium,155245.19,High,Mid-Value Occasional Shoppers,50146.6368243868
C100282,South,Referral,0.91899407,High,2021.05,Low,Low-Engagement / Dormant,1857.3329651735
C100283,West,Social Media,0.009553451,Low,486315.35,Very High,High-Value Loyalists,4645.989866772849
C100284,Central,Direct,0.00089133816,Low,581127.73,Very High,High-Value Loyalists,517.9813215831767
C100285,South,Direct,0.5528127,Medium,34168.29,Medium,Low-Engagement / Dormant,18888.664649283
